,champion1,id1,champion2,id2,combo
1,Annie,1,Olaf,2,0
2,Annie,1,Galio,3,0
3,Annie,1,Twisted Fate,4,0
4,Annie,1,Xin Zhao,5,0
5,Annie,1,Urgot,6,0
6,Annie,1,LeBlanc,7,0
7,Annie,1,Vladimir,8,0
8,Annie,1,Fiddlesticks,9,0
9,Annie,1,Kayle,10,0
10,Annie,1,Master Yi,11,0
11,Annie,1,Alistar,12,0
12,Annie,1,Ryze,13,0
13,Annie,1,Sion,14,0
14,Annie,1,Sivir,15,0
15,Annie,1,Soraka,16,0
16,Annie,1,Teemo,17,0
17,Annie,1,Tristana,18,0
18,Annie,1,Warwick,19,0
19,Annie,1,Nunu & Willump,20,0
20,Annie,1,Miss Fortune,21,0
21,Annie,1,Ashe,22,0
22,Annie,1,Tryndamere,23,0
23,Annie,1,Jax,24,0
24,Annie,1,Morgana,25,0
25,Annie,1,Zilean,26,0
26,Annie,1,Singed,27,0
27,Annie,1,Evelynn,28,0
28,Annie,1,Twitch,29,0
29,Annie,1,Karthus,30,0
30,Annie,1,Cho'Gath,31,0
31,Annie,1,Amumu,32,0
32,Annie,1,Rammus,33,0
33,Annie,1,Anivia,34,0
34,Annie,1,Shaco,35,0
35,Annie,1,Dr. Mundo,36,0
36,Annie,1,Sona,37,0
37,Annie,1,Kassadin,38,0
38,Annie,1,Irelia,39,0
39,Annie,1,Janna,40,0
40,Annie,1,Gangplank,41,0
41,Annie,1,Corki,42,0
42,Annie,1,Karma,43,0
43,Annie,1,Taric,44,0
44,Annie,1,Veigar,45,0
45,Annie,1,Trundle,48,0
46,Annie,1,Swain,50,0
47,Annie,1,Caitlyn,51,0
48,Annie,1,Blitzcrank,53,0
49,Annie,1,Malphite,54,0
50,Annie,1,Katarina,55,0
51,Annie,1,Nocturne,56,0
52,Annie,1,Maokai,57,0
53,Annie,1,Renekton,58,0
54,Annie,1,Jarvan IV,59,0
55,Annie,1,Elise,60,0
56,Annie,1,Orianna,61,0
57,Annie,1,Wukong,62,0
58,Annie,1,Brand,63,0
59,Annie,1,Lee Sin,64,0
60,Annie,1,Vayne,67,0
61,Annie,1,Rumble,68,0
62,Annie,1,Cassiopeia,69,0
63,Annie,1,Skarner,72,0
64,Annie,1,Heimerdinger,74,0
65,Annie,1,Nasus,75,0
66,Annie,1,Nidalee,76,0
67,Annie,1,Udyr,77,0
68,Annie,1,Poppy,78,0
69,Annie,1,Gragas,79,0
70,Annie,1,Pantheon,80,0
71,Annie,1,Ezreal,81,0
