id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
1,Annie,54.56,50.16,38.94,53.61,47.86,45.56,62,39,2,0,416,223,7,3,39,22,526,287
2,Olaf,48.15,48.08,48,53.35,47.86,45.56,913,439,225,108,16,8,8,5,1,0,1163,560
3,Galio,46.77,50.16,38.94,47.11,47.86,45.56,17,10,5,2,554,261,3,1,71,30,650,304
4,Twisted Fate,51.84,50.16,38.94,51.32,47.86,45.56,4,2,4,0,721,370,13,9,18,13,760,394
5,Xin Zhao,49.86,50.16,50.22,53.35,47.86,45.56,33,15,671,337,9,3,2,1,1,1,716,357
6,Urgot,52.5,53.26,38.94,53.35,47.86,45.56,475,253,6,1,13,6,5,2,2,1,501,263
7,LeBlanc,44.71,50.16,38.94,44.93,47.86,45.56,11,6,0,0,828,372,1,1,30,10,870,389
8,Vladimir,50.32,49.9,38.94,50.73,47.86,45.56,517,258,0,0,1165,591,27,12,2,0,1711,861
9,Fiddlesticks,52.05,50.16,52.08,53.35,47.86,45.56,33,17,576,300,13,8,1,0,34,17,657,342
10,Kayle,57.4,56.81,38.94,60.42,47.86,45.56,1512,859,4,1,331,200,3,2,2,1,1852,1063
11,Master Yi,52.1,50.16,52.32,53.35,47.86,45.56,12,7,539,282,14,7,5,1,2,1,572,298
12,Alistar,47.44,50.16,38.94,53.35,47.86,47.37,12,6,3,1,2,1,1,1,646,306,664,315
13,Ryze,46.9,50.16,38.94,48.43,47.86,45.56,65,25,0,0,351,170,4,2,0,0,420,197
14,Sion,46.01,45.33,38.94,53.35,47.86,45.56,814,369,23,11,84,45,35,16,22,9,978,450
15,Sivir,48.23,50.16,38.94,53.35,47.93,45.56,1,1,0,0,7,3,386,185,2,2,396,191
16,Soraka,50.93,50.16,38.94,53.35,47.86,51.1,35,18,0,0,41,20,52,24,1857,949,1985,1011
17,Teemo,50.09,50.33,38.94,53.35,47.86,45.56,461,232,23,12,41,22,10,4,18,7,553,277
18,Tristana,47.18,50.16,38.94,47.26,47,45.56,19,11,7,3,237,112,1068,502,0,0,1331,628
19,Warwick,52.34,52.03,53.14,53.35,47.86,45.56,296,154,414,220,11,5,3,0,2,1,726,380
20,Nunu & Willump,50.54,50.16,51.12,53.35,47.86,45.56,7,3,849,434,48,23,1,0,13,4,918,464
21,Miss Fortune,49.04,50.16,38.94,53.35,49.33,45.56,2,2,0,0,9,3,1794,885,73,31,1878,921
22,Ashe,48.53,50.16,38.94,53.35,49.85,47.88,26,13,2,0,34,15,1308,652,2337,1119,3707,1799
23,Tryndamere,46.61,46.35,38.94,53.35,47.86,45.56,809,375,9,2,166,84,4,0,1,0,989,461
24,Jax,52.07,52.99,38.94,53.35,47.86,45.56,1536,814,49,18,25,8,3,1,2,0,1615,841
25,Morgana,48.35,50.16,38.94,53.35,47.86,47.85,11,8,38,18,62,32,9,5,1001,479,1121,542
26,Zilean,51.37,50.16,38.94,50.39,47.86,52.01,69,31,0,0,383,193,19,11,1094,569,1565,804
27,Singed,53.44,54.4,38.94,53.35,47.86,45.56,546,297,19,4,107,60,6,4,35,16,713,381
28,Evelynn,48.82,50.16,48.9,53.35,47.86,45.56,0,0,679,332,0,0,0,0,1,0,680,332
29,Twitch,51.32,50.16,38.94,53.35,51.5,45.56,9,4,79,36,54,37,3493,1799,87,34,3722,1910
30,Karthus,50.51,50.16,50.36,53.55,48.93,45.56,23,12,832,419,183,98,513,251,29,18,1580,798
