id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
1,Annie,51.7,54.72,0.0,52.29,38.89,45.33,106.0,58.0,0.0,0.0,654,342,18.0,7.0,75.0,34.0,853.0,441.0
2,Olaf,53.05,53.11,53.19,52.38,41.67,0.0,1834.0,974.0,423.0,225.0,42,22,12.0,5.0,0.0,0.0,2311.0,1226.0
3,Galio,47.72,37.5,0.0,48.2,50.0,45.83,24.0,9.0,0.0,0.0,1141,550,2.0,1.0,168.0,77.0,1335.0,637.0
4,Twisted Fate,47.73,37.5,0.0,48.03,60.0,36.0,8.0,3.0,3.0,0.0,1297,623,10.0,6.0,25.0,9.0,1343.0,641.0
5,Xin Zhao,49.78,41.67,50.17,46.15,0.0,33.33,48.0,20.0,1495.0,750.0,26,12,1.0,0.0,3.0,1.0,1573.0,783.0
6,Urgot,51.87,51.73,71.43,43.75,66.67,66.67,692.0,358.0,7.0,5.0,16,7,3.0,2.0,3.0,2.0,721.0,374.0
7,LeBlanc,46.47,40.0,100.0,46.54,66.67,42.86,10.0,4.0,1.0,1.0,1472,685,3.0,2.0,42.0,18.0,1528.0,710.0
8,Vladimir,49.14,47.54,0.0,50.02,42.22,50.0,995.0,473.0,0.0,0.0,2147,1074,45.0,19.0,2.0,1.0,3189.0,1567.0
9,Fiddlesticks,50.05,47.83,51.16,44.0,100.0,36.36,46.0,22.0,860.0,440.0,25,11,1.0,1.0,55.0,20.0,987.0,494.0
10,Kayle,47.47,47.3,0.0,48.63,45.45,33.33,3021.0,1429.0,4.0,0.0,658,320,11.0,5.0,3.0,1.0,3697.0,1755.0
11,Master Yi,45.86,38.46,46.69,33.33,14.29,50.0,26.0,10.0,846.0,395.0,24,8,7.0,1.0,2.0,1.0,905.0,415.0
12,Alistar,50.76,50.0,33.33,0.0,0.0,51.0,6.0,3.0,3.0,1.0,4,0,1.0,0.0,1298.0,662.0,1312.0,666.0
13,Ryze,47.88,48.15,0.0,48.22,0.0,100.0,108.0,52.0,2.0,0.0,591,285,4.0,0.0,1.0,1.0,706.0,338.0
14,Sion,49.96,50.17,40.74,51.88,47.5,38.46,1202.0,603.0,27.0,11.0,133,69,40.0,19.0,13.0,5.0,1415.0,707.0
15,Sivir,50.64,50.0,0.0,66.67,50.57,50.0,2.0,1.0,1.0,0.0,6,4,617.0,312.0,2.0,1.0,628.0,318.0
16,Soraka,49.21,48.08,0.0,51.55,53.57,49.03,52.0,25.0,1.0,0.0,97,50,112.0,60.0,3284.0,1610.0,3546.0,1745.0
17,Teemo,47.59,48.09,42.22,51.22,41.67,38.89,653.0,314.0,45.0,19.0,41,21,12.0,5.0,18.0,7.0,769.0,366.0
18,Tristana,50.67,51.85,30.0,52.86,50.21,50.0,54.0,28.0,10.0,3.0,507,268,2131.0,1070.0,2.0,1.0,2704.0,1370.0
19,Warwick,49.58,50.27,48.82,50.0,71.43,25.0,547.0,275.0,592.0,289.0,30,15,7.0,5.0,4.0,1.0,1180.0,585.0
20,Nunu & Willump,51.93,22.22,53.78,43.05,45.45,25.0,18.0,4.0,1523.0,819.0,151,65,11.0,5.0,32.0,8.0,1735.0,901.0
21,Miss Fortune,50.45,0.0,0.0,38.46,50.82,43.0,2.0,0.0,0.0,0.0,13,5,2684.0,1364.0,100.0,43.0,2799.0,1412.0
22,Ashe,49.86,39.02,0.0,46.34,52.09,48.54,41.0,16.0,5.0,0.0,41,19,2346.0,1222.0,3325.0,1614.0,5758.0,2871.0
23,Tryndamere,51.0,51.68,10.0,49.32,35.71,100.0,1486.0,768.0,10.0,1.0,294,145,14.0,5.0,2.0,2.0,1806.0,921.0
24,Jax,50.38,50.62,45.59,44.19,37.5,0.0,2898.0,1467.0,68.0,31.0,43,19,8.0,3.0,0.0,0.0,3017.0,1520.0
25,Morgana,47.73,33.33,50.0,51.52,55.56,47.5,15.0,5.0,42.0,21.0,99,51,9.0,5.0,1398.0,664.0,1563.0,746.0
26,Zilean,50.99,50.0,0.0,52.41,60.61,50.3,134.0,67.0,0.0,0.0,769,403,33.0,20.0,1849.0,930.0,2785.0,1420.0
27,Singed,46.23,48.29,11.54,47.69,23.81,37.36,907.0,438.0,26.0,3.0,216,103,21.0,5.0,91.0,34.0,1261.0,583.0
28,Evelynn,46.77,33.33,46.93,25.0,0.0,0.0,6.0,2.0,1074.0,504.0,4,1,0.0,0.0,0.0,0.0,1084.0,507.0
29,Twitch,50.27,55.56,51.35,50.0,50.38,42.4,18.0,10.0,148.0,76.0,146,73,6514.0,3282.0,125.0,53.0,6951.0,3494.0
30,Karthus,48.63,62.86,47.24,48.11,50.48,52.5,35.0,22.0,1340.0,633.0,264,127,731.0,369.0,40.0,21.0,2410.0,1172.0
31,Cho'Gath,45.54,44.58,38.1,47.27,50.0,50.0,480.0,214.0,21.0,8.0,220,104,40.0,20.0,12.0,6.0,773.0,352.0
32,Amumu,51.4,25.0,50.46,37.5,66.67,51.95,8.0,2.0,650.0,328.0,8,3,6.0,4.0,1536.0,798.0,2208.0,1135.0
33,Rammus,48.95,53.33,48.89,33.33,100.0,46.15,45.0,24.0,1174.0,574.0,9,3,1.0,1.0,13.0,6.0,1242.0,608.0
34,Anivia,50.78,64.86,0.0,50.33,42.11,47.93,74.0,48.0,1.0,0.0,1069,538,19.0,8.0,121.0,58.0,1284.0,652.0
35,Shaco,46.95,31.03,46.88,69.23,50.0,48.5,29.0,9.0,1297.0,608.0,13,9,2.0,1.0,167.0,81.0,1508.0,708.0
36,Dr. Mundo,49.1,49.48,37.93,44.12,57.14,62.5,869.0,430.0,29.0,11.0,34,15,7.0,4.0,8.0,5.0,947.0,465.0
37,Sona,52.62,75.0,0.0,0.0,53.12,52.63,8.0,6.0,1.0,0.0,4,0,128.0,68.0,2301.0,1211.0,2442.0,1285.0
38,Kassadin,51.22,58.14,0.0,51.14,50.0,0.0,43.0,25.0,2.0,0.0,2708,1385,4.0,2.0,0.0,0.0,2757.0,1412.0
39,Irelia,49.5,49.88,0.0,49.0,50.0,0.0,2448.0,1221.0,0.0,0.0,1806,885,34.0,17.0,1.0,0.0,4289.0,2123.0
40,Janna,53.46,50.0,25.0,56.25,50.0,53.52,50.0,25.0,4.0,1.0,16,9,4.0,2.0,3946.0,2112.0,4020.0,2149.0
41,Gangplank,49.72,49.86,0.0,48.62,50.0,50.0,4569.0,2278.0,1.0,0.0,508,247,4.0,2.0,4.0,2.0,5086.0,2529.0
42,Corki,47.79,42.86,0.0,48.05,30.43,0.0,70.0,30.0,0.0,0.0,3055,1468,23.0,7.0,1.0,0.0,3149.0,1505.0
43,Karma,47.38,50.18,0.0,46.88,46.27,47.31,281.0,141.0,0.0,0.0,689,323,67.0,31.0,5635.0,2666.0,6672.0,3161.0
44,Taric,55.81,48.91,55.56,64.15,64.71,56.36,184.0,90.0,117.0,65.0,53,34,17.0,11.0,1265.0,713.0,1636.0,913.0
45,Veigar,49.44,46.34,0.0,49.61,50.89,34.94,41.0,19.0,1.0,0.0,2330,1156,672.0,342.0,83.0,29.0,3127.0,1546.0
48,Trundle,52.03,47.34,53.78,50.0,0.0,42.86,395.0,187.0,1467.0,789.0,8,4,0.0,0.0,77.0,33.0,1947.0,1013.0
50,Swain,50.42,53.38,0.0,50.27,48.89,50.32,532.0,284.0,1.0,0.0,2262,1137,720.0,352.0,789.0,397.0,4304.0,2170.0
51,Caitlyn,48.6,66.67,0.0,45.45,48.61,100.0,3.0,2.0,1.0,0.0,22,10,2438.0,1185.0,1.0,1.0,2465.0,1198.0
53,Blitzcrank,51.3,50.0,50.0,25.0,0.0,51.35,4.0,2.0,2.0,1.0,4,1,0.0,0.0,2522.0,1295.0,2532.0,1299.0
54,Malphite,48.9,49.85,38.1,46.83,25.0,30.0,1316.0,656.0,21.0,8.0,126,59,8.0,2.0,30.0,9.0,1501.0,734.0
55,Katarina,49.73,49.56,50.0,49.72,53.49,0.0,113.0,56.0,6.0,3.0,3387,1684,43.0,23.0,2.0,0.0,3551.0,1766.0
56,Nocturne,47.48,47.83,47.72,30.0,0.0,0.0,46.0,22.0,876.0,418.0,10,3,1.0,0.0,0.0,0.0,933.0,443.0
57,Maokai,50.16,47.37,36.36,60.0,66.67,50.51,114.0,54.0,11.0,4.0,5,3,15.0,10.0,489.0,247.0,634.0,318.0
58,Renekton,48.41,48.95,100.0,45.21,50.0,0.0,1663.0,814.0,1.0,1.0,303,137,10.0,5.0,0.0,0.0,1977.0,957.0
59,Jarvan IV,50.64,55.0,50.87,42.11,50.0,43.48,40.0,22.0,1378.0,701.0,19,8,4.0,2.0,46.0,20.0,1487.0,753.0
60,Elise,51.58,0.0,51.28,33.33,0.0,60.0,3.0,0.0,429.0,220.0,3,1,0.0,0.0,40.0,24.0,475.0,245.0
61,Orianna,49.42,50.0,0.0,49.46,52.0,36.36,14.0,7.0,0.0,0.0,1581,782,25.0,13.0,11.0,4.0,1631.0,806.0
62,Wukong,51.19,52.0,50.89,62.2,54.55,20.0,1002.0,521.0,5590.0,2845.0,82,51,33.0,18.0,5.0,1.0,6712.0,3436.0
63,Brand,47.58,57.14,25.0,46.88,54.55,47.3,7.0,4.0,12.0,3.0,160,75,66.0,36.0,518.0,245.0,763.0,363.0
64,Lee Sin,46.81,41.77,46.95,40.0,49.09,42.31,79.0,33.0,6379.0,2995.0,75,30,55.0,27.0,26.0,11.0,6614.0,3096.0
67,Vayne,49.36,49.01,60.0,46.88,49.5,0.0,755.0,370.0,5.0,3.0,96,45,3570.0,1767.0,1.0,0.0,4427.0,2185.0
68,Rumble,49.06,47.13,50.35,51.49,33.33,50.0,785.0,370.0,141.0,71.0,571,294,6.0,2.0,36.0,18.0,1539.0,755.0
69,Cassiopeia,51.48,48.87,0.0,53.09,47.57,0.0,311.0,152.0,0.0,0.0,1068,567,206.0,98.0,2.0,0.0,1587.0,817.0
72,Skarner,52.86,56.18,50.78,33.33,0.0,25.0,251.0,141.0,319.0,162.0,3,1,0.0,0.0,4.0,1.0,577.0,305.0
74,Heimerdinger,53.09,48.28,33.33,54.23,56.14,52.94,203.0,98.0,3.0,1.0,319,173,228.0,128.0,136.0,72.0,889.0,472.0
75,Nasus,47.42,46.59,41.18,52.98,41.67,52.0,807.0,376.0,34.0,14.0,151,80,12.0,5.0,25.0,13.0,1029.0,488.0
76,Nidalee,49.86,53.03,50.02,41.67,33.33,14.29,66.0,35.0,2775.0,1388.0,12,5,3.0,1.0,14.0,2.0,2870.0,1431.0
77,Udyr,50.46,60.0,50.52,40.0,0.0,0.0,15.0,9.0,1819.0,919.0,5,2,0.0,0.0,4.0,0.0,1843.0,930.0
78,Poppy,51.01,53.05,48.89,60.0,100.0,51.72,918.0,487.0,1039.0,508.0,25,15,1.0,1.0,87.0,45.0,2070.0,1056.0
79,Gragas,52.47,52.9,51.4,52.27,58.33,50.64,3316.0,1754.0,749.0,385.0,572,299,12.0,7.0,312.0,158.0,4961.0,2603.0
80,Pantheon,46.53,50.36,36.36,49.11,43.75,38.11,693.0,349.0,33.0,12.0,393,193,16.0,7.0,391.0,149.0,1526.0,710.0
81,Ezreal,48.24,44.0,50.0,39.25,48.41,21.43,25.0,11.0,4.0,2.0,186,73,13180.0,6380.0,14.0,3.0,13409.0,6469.0
82,Mordekaiser,49.36,49.41,49.2,49.72,35.71,66.67,2453.0,1212.0,313.0,154.0,179,89,14.0,5.0,3.0,2.0,2962.0,1462.0
83,Yorick,48.72,48.08,16.67,65.62,0.0,100.0,626.0,301.0,6.0,1.0,32,21,0.0,0.0,1.0,1.0,665.0,324.0
84,Akali,47.31,48.63,33.33,46.79,33.33,25.0,1168.0,568.0,3.0,1.0,2633,1232,3.0,1.0,4.0,1.0,3811.0,1803.0
85,Kennen,47.19,47.8,0.0,46.09,22.22,42.86,933.0,446.0,0.0,0.0,230,106,9.0,2.0,21.0,9.0,1193.0,563.0
86,Garen,50.7,50.52,44.0,52.23,75.0,0.0,1534.0,775.0,25.0,11.0,224,117,8.0,6.0,2.0,0.0,1793.0,909.0
89,Leona,47.27,25.0,0.0,100.0,50.0,47.29,4.0,1.0,0.0,0.0,1,1,4.0,2.0,1732.0,819.0,1741.0,823.0
90,Malzahar,50.13,40.0,0.0,50.81,50.0,0.0,35.0,14.0,0.0,0.0,744,378,4.0,2.0,3.0,0.0,786.0,394.0
91,Talon,47.85,58.82,46.96,48.74,0.0,66.67,51.0,30.0,1857.0,872.0,1385,675,4.0,0.0,3.0,2.0,3300.0,1579.0
92,Riven,50.38,50.41,50.0,50.87,25.0,42.86,2547.0,1284.0,20.0,10.0,173,88,4.0,1.0,7.0,3.0,2751.0,1386.0
96,Kog'Maw,51.97,33.33,42.86,48.18,52.59,14.29,9.0,3.0,7.0,3.0,137,66,1639.0,862.0,7.0,1.0,1799.0,935.0
98,Shen,53.03,53.58,50.0,42.11,60.0,39.44,2109.0,1130.0,4.0,2.0,19,8,5.0,3.0,71.0,28.0,2208.0,1171.0
99,Lux,49.15,33.33,0.0,48.44,49.22,50.0,3.0,1.0,0.0,0.0,1406,681,128.0,63.0,1238.0,619.0,2775.0,1364.0
101,Xerath,50.68,75.0,0.0,51.13,49.61,50.17,4.0,3.0,0.0,0.0,1060,542,127.0,63.0,859.0,431.0,2050.0,1039.0
102,Shyvana,48.45,47.5,49.14,50.0,100.0,0.0,821.0,390.0,993.0,488.0,24,12,1.0,1.0,0.0,0.0,1839.0,891.0
103,Ahri,51.65,40.0,0.0,51.8,44.83,47.5,35.0,14.0,2.0,0.0,5718,2962,29.0,13.0,40.0,19.0,5824.0,3008.0
104,Graves,48.43,46.6,48.6,46.15,60.71,33.33,309.0,144.0,4506.0,2190.0,221,102,28.0,17.0,3.0,1.0,5067.0,2454.0
105,Fizz,47.05,27.78,50.0,47.41,0.0,50.0,18.0,5.0,4.0,2.0,909,431,0.0,0.0,2.0,1.0,933.0,439.0
106,Volibear,52.93,50.86,54.02,40.43,0.0,50.0,1929.0,981.0,4376.0,2364.0,47,19,3.0,0.0,2.0,1.0,6357.0,3365.0
107,Rengar,52.61,51.67,52.87,75.0,48.65,41.67,540.0,279.0,2650.0,1401.0,4,3,37.0,18.0,12.0,5.0,3243.0,1706.0
110,Varus,47.05,50.0,0.0,45.32,47.52,0.0,6.0,3.0,2.0,0.0,139,63,867.0,412.0,2.0,0.0,1016.0,478.0
111,Nautilus,48.77,50.0,50.0,36.36,55.56,48.78,10.0,5.0,10.0,5.0,11,4,9.0,5.0,5736.0,2798.0,5776.0,2817.0
112,Viktor,50.86,45.86,0.0,50.93,54.72,33.33,133.0,61.0,1.0,0.0,4714,2401,106.0,58.0,3.0,1.0,4957.0,2521.0
113,Sejuani,51.17,52.15,49.46,49.21,36.36,45.1,2046.0,1067.0,651.0,322.0,63,31,11.0,4.0,102.0,46.0,2873.0,1470.0
114,Fiora,49.04,49.04,100.0,48.21,50.0,0.0,4070.0,1996.0,2.0,2.0,56,27,4.0,2.0,1.0,0.0,4133.0,2027.0
