id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
1,Annie,42.13,33.33,0.0,43.94,0.0,44.44,27.0,9.0,0.0,0.0,132.0,58.0,1.0,0.0,18.0,8.0,178.0,75.0
2,Olaf,51.84,51.45,51.35,66.67,100.0,0.0,379.0,195.0,74.0,38.0,6.0,4.0,2.0,2.0,0.0,0.0,461.0,239.0
3,Galio,51.4,37.5,0.0,53.43,0.0,40.0,8.0,3.0,0.0,0.0,277.0,148.0,1.0,0.0,35.0,14.0,321.0,165.0
4,Twisted Fate,50.65,33.33,0.0,50.84,0.0,62.5,3.0,1.0,0.0,0.0,297.0,151.0,2.0,0.0,8.0,5.0,310.0,157.0
5,Xin Zhao,43.69,38.46,44.3,33.33,0.0,0.0,13.0,5.0,307.0,136.0,3.0,1.0,1.0,0.0,1.0,0.0,325.0,142.0
6,Urgot,53.54,53.33,0.0,75.0,50.0,0.0,120.0,64.0,1.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,127.0,68.0
7,LeBlanc,46.98,25.0,0.0,47.26,0.0,55.56,8.0,2.0,0.0,0.0,347.0,164.0,0.0,0.0,9.0,5.0,364.0,171.0
8,Vladimir,51.82,57.73,0.0,48.81,33.33,0.0,220.0,127.0,1.0,0.0,379.0,185.0,6.0,2.0,0.0,0.0,606.0,314.0
9,Fiddlesticks,53.07,11.11,55.84,75.0,0.0,41.67,9.0,1.0,154.0,86.0,4.0,3.0,0.0,0.0,12.0,5.0,179.0,95.0
10,Kayle,49.25,51.32,0.0,40.87,25.0,0.0,606.0,311.0,1.0,0.0,115.0,47.0,4.0,1.0,3.0,0.0,729.0,359.0
11,Master Yi,42.86,16.67,43.31,100.0,50.0,0.0,6.0,1.0,157.0,68.0,2.0,2.0,2.0,1.0,1.0,0.0,168.0,72.0
12,Alistar,48.14,66.67,0.0,0.0,0.0,48.61,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,288.0,140.0,295.0,142.0
13,Ryze,46.39,35.71,0.0,48.3,100.0,0.0,14.0,5.0,4.0,0.0,147.0,71.0,1.0,1.0,0.0,0.0,166.0,77.0
14,Sion,50.19,49.04,50.0,58.62,66.67,33.33,208.0,102.0,8.0,4.0,29.0,17.0,6.0,4.0,6.0,2.0,257.0,129.0
15,Sivir,48.25,0.0,0.0,25.0,49.54,0.0,0.0,0.0,0.0,0.0,4.0,1.0,109.0,54.0,1.0,0.0,114.0,55.0
16,Soraka,56.37,40.0,0.0,45.45,60.87,57.12,15.0,6.0,1.0,0.0,22.0,10.0,23.0,14.0,583.0,333.0,644.0,363.0
17,Teemo,44.1,43.88,0.0,50.0,100.0,28.57,139.0,61.0,2.0,0.0,10.0,5.0,3.0,3.0,7.0,2.0,161.0,71.0
18,Tristana,52.15,45.0,66.67,55.24,51.72,0.0,20.0,9.0,3.0,2.0,105.0,58.0,406.0,210.0,1.0,0.0,535.0,279.0
19,Warwick,52.08,53.54,53.01,25.0,100.0,0.0,99.0,53.0,83.0,44.0,8.0,2.0,1.0,1.0,1.0,0.0,192.0,100.0
20,Nunu & Willump,49.74,0.0,53.73,36.36,0.0,28.57,7.0,0.0,322.0,173.0,44.0,16.0,4.0,0.0,7.0,2.0,384.0,191.0
21,Miss Fortune,46.21,0.0,0.0,75.0,46.72,33.33,0.0,0.0,2.0,0.0,4.0,3.0,411.0,192.0,18.0,6.0,435.0,201.0
22,Ashe,44.04,0.0,0.0,14.29,46.28,42.99,3.0,0.0,2.0,0.0,7.0,1.0,484.0,224.0,628.0,270.0,1124.0,495.0
23,Tryndamere,56.76,57.26,40.0,56.06,0.0,0.0,379.0,217.0,5.0,2.0,66.0,37.0,1.0,0.0,0.0,0.0,451.0,256.0
24,Jax,51.09,51.35,41.67,57.14,0.0,0.0,668.0,343.0,12.0,5.0,7.0,4.0,1.0,0.0,1.0,0.0,689.0,352.0
25,Morgana,47.89,66.67,42.86,22.22,100.0,48.12,3.0,2.0,7.0,3.0,9.0,2.0,3.0,3.0,239.0,115.0,261.0,125.0
26,Zilean,47.08,54.17,0.0,53.85,75.0,43.28,24.0,13.0,0.0,0.0,130.0,70.0,4.0,3.0,305.0,132.0,463.0,218.0
27,Singed,35.93,42.96,14.29,25.93,28.57,23.81,142.0,61.0,7.0,1.0,54.0,14.0,7.0,2.0,21.0,5.0,231.0,83.0
28,Evelynn,49.49,0.0,50.0,0.0,0.0,0.0,0.0,0.0,196.0,98.0,0.0,0.0,1.0,0.0,1.0,0.0,198.0,98.0
29,Twitch,55.11,0.0,63.64,55.0,55.0,55.56,1.0,0.0,22.0,14.0,20.0,11.0,1289.0,709.0,27.0,15.0,1359.0,749.0
30,Karthus,52.25,66.67,47.88,53.33,60.81,50.0,9.0,6.0,330.0,158.0,60.0,32.0,148.0,90.0,8.0,4.0,555.0,290.0
31,Cho'Gath,53.64,55.29,0.0,61.7,33.33,0.0,85.0,47.0,1.0,0.0,47.0,29.0,15.0,5.0,3.0,0.0,151.0,81.0
32,Amumu,52.77,0.0,48.28,0.0,66.67,54.04,1.0,0.0,87.0,42.0,1.0,0.0,3.0,2.0,359.0,194.0,451.0,238.0
33,Rammus,38.05,25.0,38.79,0.0,0.0,50.0,8.0,2.0,214.0,83.0,2.0,0.0,0.0,0.0,2.0,1.0,226.0,86.0
34,Anivia,53.47,64.71,0.0,56.99,20.0,35.14,17.0,11.0,0.0,0.0,186.0,106.0,5.0,1.0,37.0,13.0,245.0,131.0
35,Shaco,41.24,0.0,42.05,50.0,0.0,31.82,1.0,0.0,264.0,111.0,4.0,2.0,0.0,0.0,22.0,7.0,291.0,120.0
36,Dr. Mundo,40.67,41.04,33.33,37.5,50.0,0.0,134.0,55.0,6.0,2.0,8.0,3.0,2.0,1.0,0.0,0.0,150.0,61.0
37,Sona,45.45,0.0,0.0,0.0,47.62,45.57,1.0,0.0,0.0,0.0,1.0,0.0,21.0,10.0,395.0,180.0,418.0,190.0
38,Kassadin,52.74,68.75,0.0,52.24,0.0,0.0,16.0,11.0,0.0,0.0,513.0,268.0,0.0,0.0,0.0,0.0,529.0,279.0
39,Irelia,47.54,48.8,0.0,46.0,33.33,0.0,498.0,243.0,0.0,0.0,350.0,161.0,6.0,2.0,0.0,0.0,854.0,406.0
40,Janna,47.75,75.0,0.0,0.0,33.33,47.79,4.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,745.0,356.0,754.0,360.0
41,Gangplank,47.05,46.77,0.0,50.0,66.67,0.0,945.0,442.0,1.0,0.0,86.0,43.0,3.0,2.0,0.0,0.0,1035.0,487.0
42,Corki,41.64,72.22,0.0,40.89,28.57,0.0,18.0,13.0,0.0,0.0,609.0,249.0,7.0,2.0,0.0,0.0,634.0,264.0
43,Karma,52.85,57.38,0.0,50.0,16.67,53.34,61.0,35.0,0.0,0.0,146.0,73.0,12.0,2.0,1166.0,622.0,1385.0,732.0
44,Taric,52.11,39.02,51.85,62.5,25.0,53.65,41.0,16.0,27.0,14.0,16.0,10.0,4.0,1.0,315.0,169.0,403.0,210.0
45,Veigar,49.69,80.0,0.0,46.7,60.78,25.0,5.0,4.0,0.0,0.0,364.0,170.0,102.0,62.0,8.0,2.0,479.0,238.0
48,Trundle,47.14,43.1,48.74,100.0,0.0,28.57,58.0,25.0,277.0,135.0,1.0,1.0,0.0,0.0,14.0,4.0,350.0,165.0
50,Swain,48.62,42.24,0.0,48.0,61.9,43.61,116.0,49.0,0.0,0.0,425.0,204.0,126.0,78.0,133.0,58.0,800.0,389.0
51,Caitlyn,47.73,0.0,0.0,33.33,47.83,0.0,0.0,0.0,0.0,0.0,3.0,1.0,437.0,209.0,0.0,0.0,440.0,210.0
53,Blitzcrank,51.65,0.0,0.0,0.0,0.0,51.87,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,482.0,250.0,484.0,250.0
54,Malphite,46.8,48.66,20.0,42.31,0.0,0.0,261.0,127.0,5.0,1.0,26.0,11.0,0.0,0.0,5.0,0.0,297.0,139.0
55,Katarina,53.14,33.33,0.0,53.46,50.0,0.0,9.0,3.0,0.0,0.0,621.0,332.0,6.0,3.0,0.0,0.0,636.0,338.0
56,Nocturne,51.69,40.0,51.46,100.0,0.0,0.0,5.0,2.0,171.0,88.0,2.0,2.0,0.0,0.0,0.0,0.0,178.0,92.0
