id,name,attack_score,defense_score
1,Annie,812.3,661.82
2,Olaf,826.17,1093.22
3,Galio,596.33,882.3
4,Twisted Fate,655.27,803.25
5,Xin Zhao,722.13,1278.43
6,Urgot,720.14,977.65
7,LeBlanc,795.29,807.53
8,Vladimir,919.48,1156.68
9,Fiddlesticks,681.69,1064.42
10,Kayle,791.14,876.85
11,Master Yi,788.12,1033.73
12,Alistar,271.7,896.5
13,Ryze,784.6,935.54
14,Sion,696.54,1412.0
15,Sivir,795.51,682.8
16,Soraka,204.46,549.56
17,Teemo,931.98,789.43
18,Tristana,813.68,785.35
19,Warwick,646.65,1360.66
20,Nunu & Willump,538.16,1289.02
21,Miss Fortune,857.63,679.82
22,Ashe,642.45,630.47
23,Tryndamere,715.76,1234.34
24,Jax,727.48,1009.58
25,Morgana,501.23,679.69
26,Zilean,397.86,673.25
27,Singed,640.71,1086.1
28,Evelynn,914.33,1036.29
29,Twitch,932.76,790.68
30,Karthus,1265.56,877.99
31,Cho'Gath,715.25,1265.88
32,Amumu,462.99,937.68
33,Rammus,625.54,1094.82
34,Anivia,726.65,910.99
35,Shaco,699.73,898.28
36,Dr. Mundo,809.5,1482.91
37,Sona,321.78,645.28
38,Kassadin,894.84,994.91
39,Irelia,807.62,1137.97
40,Janna,190.91,558.42
41,Gangplank,928.62,927.96
42,Corki,1052.75,725.42
43,Karma,434.6,632.13
44,Taric,264.58,852.33
45,Veigar,765.33,730.23
48,Trundle,623.16,1359.5
50,Swain,820.43,1133.44
51,Caitlyn,808.41,708.69
53,Blitzcrank,319.74,797.69
54,Malphite,623.0,843.17
55,Katarina,909.88,945.31
56,Nocturne,627.12,1151.71
57,Maokai,608.78,906.55
58,Renekton,695.8,1235.01
59,Jarvan IV,557.69,1098.51
60,Elise,676.2,951.29
61,Orianna,764.69,676.93
62,Wukong,690.19,1131.62
63,Brand,842.82,709.78
64,Lee Sin,619.63,1172.28
67,Vayne,821.6,782.72
68,Rumble,891.84,837.48
69,Cassiopeia,833.3,923.11
72,Skarner,489.44,981.41
74,Heimerdinger,974.43,653.18
75,Nasus,722.72,1264.37
76,Nidalee,818.26,1112.01
77,Udyr,556.14,1203.36
78,Poppy,625.98,1026.42
79,Gragas,774.31,1054.19
80,Pantheon,753.3,905.1
81,Ezreal,980.61,714.42
82,Mordekaiser,795.37,1161.1
83,Yorick,767.41,1064.32
84,Akali,857.29,988.58
85,Kennen,815.26,772.05
86,Garen,701.77,1087.58
89,Leona,236.49,785.83
90,Malzahar,740.47,630.77
91,Talon,858.19,1065.26
92,Riven,677.61,988.45
96,Kog'Maw,1031.78,813.65
98,Shen,511.04,976.06
99,Lux,733.88,526.85
101,Xerath,924.53,551.37
102,Shyvana,848.73,1358.63
103,Ahri,756.72,764.14
104,Graves,830.38,968.52
105,Fizz,759.86,785.72
106,Volibear,620.95,1201.3
107,Rengar,810.09,1173.96
110,Varus,844.02,728.83
111,Nautilus,273.8,745.86
112,Viktor,997.15,662.48
113,Sejuani,638.93,1187.72
114,Fiora,779.58,1187.55
115,Ziggs,1008.28,628.64
117,Lulu,200.31,546.8
119,Draven,919.71,828.89
120,Hecarim,711.09,1366.45
121,Kha'Zix,795.47,1130.0
122,Darius,698.68,1057.07
126,Jayce,930.45,784.72
127,Lissandra,722.47,808.78
131,Diana,834.26,1014.77
133,Quinn,858.94,815.94
134,Syndra,796.62,666.54
136,Aurelion Sol,830.15,911.02
141,Kayn,822.13,1318.15
142,Zoe,875.8,679.92
143,Zyra,708.66,572.38
145,Kai'Sa,827.76,723.81
147,Seraphine,561.68,633.59
150,Gnar,779.11,1068.31
154,Zac,652.79,1401.61
157,Yasuo,688.03,878.45
161,Vel'Koz,872.83,602.71
163,Taliyah,916.59,818.46
164,Camille,774.72,1091.08
166,Akshan,866.6,768.09
200,Bel'Veth,694.8,1166.6
201,Braum,274.28,796.04
202,Jhin,748.06,685.97
203,Kindred,861.92,1008.04
221,Zeri,952.63,783.47
222,Jinx,849.59,700.38
223,Tahm Kench,528.75,1171.3
234,Viego,687.29,1167.05
235,Senna,659.64,667.12
236,Lucian,843.23,776.11
238,Zed,845.36,879.75
240,Kled,699.78,1392.14
245,Ekko,834.71,1146.65
246,Qiyana,876.17,900.49
254,Vi,642.01,1005.76
266,Aatrox,770.08,1229.82
267,Nami,335.23,562.39
268,Azir,906.4,789.31
350,Yuumi,334.77,339.56
360,Samira,880.69,895.67
412,Thresh,256.32,734.86
420,Illaoi,964.36,1248.95
421,Rek'Sai,663.45,1055.17
427,Ivern,347.12,609.13
429,Kalista,805.05,869.79
432,Bard,397.32,714.5
497,Rakan,258.72,705.6
498,Xayah,847.07,734.6
516,Ornn,614.91,1098.65
517,Sylas,812.64,1177.72
518,Neeko,695.11,759.62
523,Aphelios,868.32,722.82
526,Rell,293.19,778.01
555,Pyke,380.32,781.14
711,Vex,802.0,729.5
777,Yone,834.16,947.77
875,Sett,717.69,1185.7
876,Lillia,875.14,1182.19
887,Gwen,839.86,1170.1
888,Renata Glasc,314.02,658.21
