id,name,attack_score,defense_score
1,Annie,394.25,433.0
2,Olaf,523.97,726.07
3,Galio,385.22,583.0
4,Twisted Fate,372.79,533.88
5,Xin Zhao,433.31,914.74
6,Urgot,419.31,562.82
7,LeBlanc,470.57,541.82
8,Vladimir,487.3,732.02
9,Fiddlesticks,371.57,844.41
10,Kayle,395.45,597.65
11,Master Yi,418.29,779.82
12,Alistar,188.42,562.57
13,Ryze,439.75,601.26
14,Sion,411.68,794.83
15,Sivir,417.28,454.82
16,Soraka,214.18,376.37
17,Teemo,503.1,465.82
18,Tristana,490.74,522.4
19,Warwick,448.16,931.34
20,Nunu & Willump,335.15,876.64
21,Miss Fortune,478.42,448.0
22,Ashe,398.09,437.16
23,Tryndamere,461.74,886.98
24,Jax,481.22,677.45
25,Morgana,300.64,452.71
26,Zilean,280.7,425.38
27,Singed,298.58,653.75
28,Evelynn,402.23,749.71
29,Twitch,526.39,524.93
30,Karthus,651.16,660.02
31,Cho'Gath,399.54,673.16
32,Amumu,282.57,581.82
33,Rammus,300.95,770.51
34,Anivia,427.57,550.75
35,Shaco,379.02,669.5
36,Dr. Mundo,505.0,790.24
37,Sona,251.09,435.65
38,Kassadin,458.65,609.26
39,Irelia,488.24,759.18
40,Janna,171.68,368.84
41,Gangplank,537.38,668.38
42,Corki,492.81,509.13
43,Karma,373.88,444.15
44,Taric,214.22,560.41
45,Veigar,408.34,475.57
48,Trundle,367.57,879.69
50,Swain,487.8,664.78
51,Caitlyn,485.34,465.65
53,Blitzcrank,242.87,501.28
54,Malphite,425.37,541.96
55,Katarina,522.32,599.09
56,Nocturne,415.74,865.61
57,Maokai,327.02,585.61
58,Renekton,489.64,798.81
59,Jarvan IV,370.82,789.14
60,Elise,406.31,641.04
61,Orianna,472.56,476.64
62,Wukong,384.91,781.74
63,Brand,494.54,452.29
64,Lee Sin,427.98,850.87
67,Vayne,429.1,502.95
68,Rumble,555.24,556.74
69,Cassiopeia,509.96,543.94
72,Skarner,302.85,697.25
74,Heimerdinger,577.24,435.68
75,Nasus,364.54,798.32
76,Nidalee,502.65,855.84
77,Udyr,344.15,888.88
78,Poppy,455.78,684.53
79,Gragas,487.12,727.68
80,Pantheon,491.31,572.96
81,Ezreal,505.64,478.03
82,Mordekaiser,458.45,689.99
83,Yorick,458.17,622.39
84,Akali,508.1,650.2
85,Kennen,520.69,518.69
86,Garen,384.33,665.97
89,Leona,169.23,502.65
90,Malzahar,380.3,363.44
91,Talon,453.44,757.14
92,Riven,420.11,602.02
96,Kog'Maw,561.96,514.0
98,Shen,380.65,617.64
99,Lux,434.54,372.3
101,Xerath,474.82,371.53
102,Shyvana,463.23,847.45
103,Ahri,466.62,516.28
104,Graves,459.78,695.98
105,Fizz,462.89,549.77
106,Volibear,396.7,783.23
107,Rengar,472.78,855.81
110,Varus,468.03,480.09
111,Nautilus,222.21,493.17
112,Viktor,519.76,474.95
113,Sejuani,469.56,775.45
114,Fiora,497.03,754.04
115,Ziggs,477.66,407.62
117,Lulu,220.24,377.48
119,Draven,612.05,576.31
120,Hecarim,418.09,1014.83
121,Kha'Zix,417.87,852.11
122,Darius,430.68,652.28
126,Jayce,549.02,554.26
127,Lissandra,452.37,522.99
131,Diana,479.37,730.85
133,Quinn,516.01,512.66
134,Syndra,482.45,463.45
136,Aurelion Sol,465.15,574.57
141,Kayn,393.16,909.86
142,Zoe,530.61,475.85
143,Zyra,423.28,365.5
145,Kai'Sa,449.29,485.89
147,Seraphine,340.25,412.31
150,Gnar,541.26,672.31
154,Zac,359.16,953.59
157,Yasuo,460.0,586.55
161,Vel'Koz,502.23,363.77
163,Taliyah,459.23,603.85
164,Camille,461.16,667.9
166,Akshan,565.44,514.35
200,Bel'Veth,431.2,824.99
201,Braum,197.28,497.74
202,Jhin,410.72,454.1
203,Kindred,517.72,766.1
221,Zeri,478.68,519.75
222,Jinx,477.06,484.41
223,Tahm Kench,350.66,731.78
234,Viego,396.17,859.75
235,Senna,450.75,490.01
236,Lucian,521.73,527.27
238,Zed,479.53,585.06
240,Kled,497.1,894.66
245,Ekko,428.86,795.69
246,Qiyana,489.38,626.21
254,Vi,349.06,726.17
266,Aatrox,552.22,762.73
267,Nami,243.59,387.34
268,Azir,511.59,523.9
350,Yuumi,239.92,273.88
360,Samira,556.41,592.42
412,Thresh,200.17,449.22
420,Illaoi,605.12,715.07
421,Rek'Sai,453.96,774.96
427,Ivern,268.8,395.52
429,Kalista,564.03,564.35
432,Bard,286.8,446.05
497,Rakan,200.48,440.22
498,Xayah,489.9,483.6
516,Ornn,410.39,699.28
517,Sylas,558.91,789.95
518,Neeko,441.39,486.66
523,Aphelios,501.32,532.97
526,Rell,209.71,487.52
555,Pyke,303.56,530.06
711,Vex,474.73,492.78
777,Yone,516.89,645.05
875,Sett,457.47,729.15
876,Lillia,446.93,852.43
887,Gwen,477.52,769.69
888,Renata Glasc,278.14,457.08
