id,name,control_score
1,Annie,0.8828
2,Olaf,0.5039
3,Galio,1.2284
4,Twisted Fate,1.3545
5,Xin Zhao,0.7885
6,Urgot,0.7832
7,LeBlanc,0.6289
8,Vladimir,0.1239
9,Fiddlesticks,1.472
10,Kayle,0.2573
11,Master Yi,0.1957
12,Alistar,1.6365
13,Ryze,0.992
14,Sion,1.3334
15,Sivir,0.0675
16,Soraka,1.2127
17,Teemo,1.2789
18,Tristana,0.209
19,Warwick,0.8504
20,Nunu & Willump,1.2162
21,Miss Fortune,0.471
22,Ashe,1.7152
23,Tryndamere,0.3408
24,Jax,0.5722
25,Morgana,1.8283
26,Zilean,0.8327
27,Singed,1.2281
28,Evelynn,0.3731
29,Twitch,0.3547
30,Karthus,0.5986
31,Cho'Gath,2.3278
32,Amumu,1.4025
33,Rammus,1.3539
34,Anivia,1.4354
35,Shaco,0.9872
36,Dr. Mundo,0.559
37,Sona,0.4644
38,Kassadin,0.6711
39,Irelia,0.5018
40,Janna,1.6471
41,Gangplank,0.3486
42,Corki,0.0833
43,Karma,0.9364
44,Taric,1.1193
45,Veigar,0.8098
48,Trundle,0.7624
50,Swain,1.5229
51,Caitlyn,0.5862
53,Blitzcrank,1.3263
54,Malphite,1.04
55,Katarina,0.05
56,Nocturne,5.5202
57,Maokai,1.9901
58,Renekton,0.6917
59,Jarvan IV,0.8041
60,Elise,0.882
61,Orianna,0.8053
62,Wukong,0.5081
63,Brand,0.7095
64,Lee Sin,0.6567
67,Vayne,0.3391
68,Rumble,0.4887
69,Cassiopeia,0.9887
72,Skarner,1.5965
74,Heimerdinger,0.7392
75,Nasus,0.5018
76,Nidalee,0.145
77,Udyr,1.0236
78,Poppy,1.1898
79,Gragas,1.3275
80,Pantheon,0.7336
81,Ezreal,0.1243
82,Mordekaiser,0.3082
83,Yorick,0.3045
84,Akali,0.0613
85,Kennen,0.7799
86,Garen,1.081
89,Leona,1.49
90,Malzahar,1.7333
91,Talon,0.2072
92,Riven,0.9363
96,Kog'Maw,0.2889
98,Shen,0.9922
99,Lux,1.3897
101,Xerath,0.9555
102,Shyvana,0.2196
103,Ahri,0.7716
104,Graves,0.6873
105,Fizz,0.4199
106,Volibear,0.906
107,Rengar,0.5368
110,Varus,0.854
111,Nautilus,1.9349
112,Viktor,0.6558
113,Sejuani,1.1043
114,Fiora,0.3156
115,Ziggs,0.593
117,Lulu,0.9625
119,Draven,0.344
120,Hecarim,0.771
121,Kha'Zix,0.3543
122,Darius,0.677
126,Jayce,0.3256
127,Lissandra,1.3505
131,Diana,0.3421
133,Quinn,0.9121
134,Syndra,1.0831
136,Aurelion Sol,1.0823
141,Kayn,0.5667
142,Zoe,1.113
143,Zyra,1.3834
145,Kai'Sa,0.0913
147,Seraphine,1.0494
150,Gnar,1.0527
154,Zac,1.4001
157,Yasuo,0.7815
161,Vel'Koz,0.7975
163,Taliyah,1.099
164,Camille,0.6735
166,Akshan,0.0734
200,Bel'Veth,0.6905
201,Braum,1.1486
202,Jhin,0.8975
203,Kindred,0.2929
221,Zeri,0.2797
222,Jinx,0.5484
223,Tahm Kench,1.0583
234,Viego,0.5649
235,Senna,1.0385
236,Lucian,0.0861
238,Zed,0.2321
240,Kled,0.3124
245,Ekko,0.6171
246,Qiyana,0.6654
254,Vi,0.9646
266,Aatrox,0.737
267,Nami,0.9585
268,Azir,0.4681
350,Yuumi,0.6234
360,Samira,0.1372
412,Thresh,1.1615
420,Illaoi,0.1266
421,Rek'Sai,0.7876
427,Ivern,1.4506
429,Kalista,0.4958
432,Bard,1.5985
497,Rakan,0.9726
498,Xayah,0.5382
516,Ornn,1.2944
517,Sylas,0.9277
518,Neeko,1.2537
523,Aphelios,0.586
526,Rell,1.261
555,Pyke,0.8093
711,Vex,1.1351
777,Yone,0.7268
875,Sett,0.8594
876,Lillia,0.8326
887,Gwen,0.2269
888,Renata Glasc,0.8989
