id,name,gold_ability
1,Annie,382.9038
2,Olaf,435.6426
3,Galio,350.5428
4,Twisted Fate,409.7473
5,Xin Zhao,403.3801
6,Urgot,433.7575
7,LeBlanc,396.3651
8,Vladimir,421.712
9,Fiddlesticks,375.6996
10,Kayle,464.9731
11,Master Yi,446.3286
12,Alistar,264.0426
13,Ryze,423.7038
14,Sion,398.6029
15,Sivir,442.1893
16,Soraka,262.8449
17,Teemo,412.6782
18,Tristana,468.8574
19,Warwick,390.3888
20,Nunu & Willump,371.4146
21,Miss Fortune,415.4123
22,Ashe,335.7817
23,Tryndamere,465.8765
24,Jax,427.5268
25,Morgana,300.9368
26,Zilean,301.4353
27,Singed,369.6394
28,Evelynn,421.7602
29,Twitch,443.5844
30,Karthus,457.9639
31,Cho'Gath,397.9548
32,Amumu,318.7512
33,Rammus,376.0062
34,Anivia,397.8433
35,Shaco,395.9272
36,Dr. Mundo,397.4503
37,Sona,281.3885
38,Kassadin,446.3189
39,Irelia,452.0522
40,Janna,264.7622
41,Gangplank,488.5305
42,Corki,473.7544
43,Karma,291.5617
44,Taric,289.9947
45,Veigar,412.3717
48,Trundle,396.4325
50,Swain,372.8413
51,Caitlyn,436.1815
53,Blitzcrank,270.2863
54,Malphite,349.2706
55,Katarina,448.9319
56,Nocturne,401.5149
57,Maokai,295.5255
58,Renekton,414.7346
59,Jarvan IV,386.6441
60,Elise,378.0252
61,Orianna,401.1311
62,Wukong,404.1984
63,Brand,342.0699
64,Lee Sin,405.3801
67,Vayne,448.177
68,Rumble,406.2061
69,Cassiopeia,419.6827
72,Skarner,361.6811
74,Heimerdinger,394.8141
75,Nasus,406.2164
76,Nidalee,432.1482
77,Udyr,414.2439
78,Poppy,363.0901
79,Gragas,392.5669
80,Pantheon,385.1843
81,Ezreal,442.1731
82,Mordekaiser,399.2857
83,Yorick,429.3705
84,Akali,402.7728
85,Kennen,405.8547
86,Garen,439.3725
89,Leona,264.2868
90,Malzahar,399.6868
91,Talon,460.8912
92,Riven,426.8149
96,Kog'Maw,449.0132
98,Shen,351.3162
99,Lux,355.3264
101,Xerath,391.4794
102,Shyvana,422.0641
103,Ahri,396.2986
104,Graves,458.0072
105,Fizz,423.5168
106,Volibear,385.2424
107,Rengar,459.372
110,Varus,440.1539
111,Nautilus,265.8843
112,Viktor,436.5048
113,Sejuani,377.3995
114,Fiora,428.0067
115,Ziggs,422.3196
117,Lulu,271.5539
119,Draven,510.683
120,Hecarim,421.251
121,Kha'Zix,443.0433
122,Darius,429.1213
126,Jayce,443.6271
127,Lissandra,388.1129
131,Diana,439.6291
133,Quinn,437.2172
134,Syndra,390.2686
136,Aurelion Sol,398.2268
141,Kayn,444.5438
142,Zoe,401.807
143,Zyra,311.8366
145,Kai'Sa,479.3061
147,Seraphine,350.7938
150,Gnar,414.8669
154,Zac,379.9508
157,Yasuo,437.0863
161,Vel'Koz,365.3954
163,Taliyah,436.1514
164,Camille,415.2304
166,Akshan,446.4077
200,Bel'Veth,437.7079
201,Braum,266.2347
202,Jhin,433.6412
203,Kindred,448.0074
221,Zeri,459.6996
222,Jinx,449.3283
223,Tahm Kench,332.6629
234,Viego,418.8435
235,Senna,352.5858
236,Lucian,453.3029
238,Zed,437.4588
240,Kled,406.7401
245,Ekko,449.4506
246,Qiyana,459.4901
254,Vi,404.0843
266,Aatrox,404.7748
267,Nami,285.7284
268,Azir,437.6929
350,Yuumi,275.7199
360,Samira,476.9344
412,Thresh,269.4667
420,Illaoi,431.5739
421,Rek'Sai,411.6948
427,Ivern,320.3754
429,Kalista,488.8234
432,Bard,285.7723
497,Rakan,271.9424
498,Xayah,452.5663
516,Ornn,360.0856
517,Sylas,406.1536
518,Neeko,376.3746
523,Aphelios,454.5527
526,Rell,274.4093
555,Pyke,332.8345
711,Vex,382.1955
777,Yone,442.8348
875,Sett,388.565
876,Lillia,422.7789
887,Gwen,426.9274
888,Renata Glasc,279.6311
