id,name,gold_ability
1,Annie,375.8967
2,Olaf,437.911
3,Galio,350.7571
4,Twisted Fate,410.9022
5,Xin Zhao,407.2237
6,Urgot,424.7396
7,LeBlanc,393.9078
8,Vladimir,406.1463
9,Fiddlesticks,375.0745
10,Kayle,430.0018
11,Master Yi,441.2163
12,Alistar,272.5413
13,Ryze,409.2232
14,Sion,395.3065
15,Sivir,429.7313
16,Soraka,268.7312
17,Teemo,398.1391
18,Tristana,460.8844
19,Warwick,386.809
20,Nunu & Willump,375.9457
21,Miss Fortune,404.5638
22,Ashe,337.9347
23,Tryndamere,457.4046
24,Jax,414.4068
25,Morgana,304.7926
26,Zilean,304.9857
27,Singed,355.8497
28,Evelynn,414.1253
29,Twitch,432.8347
30,Karthus,453.396
31,Cho'Gath,390.4964
32,Amumu,310.8892
33,Rammus,365.8331
34,Anivia,393.0775
35,Shaco,394.3793
36,Dr. Mundo,399.0513
37,Sona,288.4175
38,Kassadin,427.0877
39,Irelia,447.9548
40,Janna,273.3261
41,Gangplank,463.7455
42,Corki,452.65
43,Karma,299.3652
44,Taric,299.4648
45,Veigar,402.2665
48,Trundle,395.4061
50,Swain,375.016
51,Caitlyn,422.8175
53,Blitzcrank,275.0579
54,Malphite,344.8631
55,Katarina,442.4712
56,Nocturne,413.49
57,Maokai,297.4623
58,Renekton,420.4502
59,Jarvan IV,391.5222
60,Elise,386.9924
61,Orianna,399.2989
62,Wukong,404.1267
63,Brand,347.1757
64,Lee Sin,411.1569
67,Vayne,427.1772
68,Rumble,406.6886
69,Cassiopeia,413.7622
72,Skarner,370.5137
74,Heimerdinger,390.4903
75,Nasus,389.909
76,Nidalee,440.1411
77,Udyr,421.1935
78,Poppy,368.4265
79,Gragas,391.4654
80,Pantheon,380.9422
81,Ezreal,426.9467
82,Mordekaiser,393.6771
83,Yorick,418.584
84,Akali,392.925
85,Kennen,395.7369
86,Garen,426.4904
89,Leona,268.755
90,Malzahar,394.1714
91,Talon,452.7248
92,Riven,413.5743
96,Kog'Maw,434.2575
98,Shen,340.3927
99,Lux,358.0803
101,Xerath,381.2328
102,Shyvana,412.148
103,Ahri,399.6087
104,Graves,448.7056
105,Fizz,415.8493
106,Volibear,390.783
107,Rengar,454.4669
110,Varus,427.4127
111,Nautilus,271.9525
112,Viktor,421.3967
113,Sejuani,382.9724
114,Fiora,411.3453
115,Ziggs,414.4639
117,Lulu,280.3066
119,Draven,506.0955
120,Hecarim,421.8034
121,Kha'Zix,438.7897
122,Darius,422.406
126,Jayce,434.5476
127,Lissandra,390.703
131,Diana,448.9308
133,Quinn,410.3571
134,Syndra,388.7748
136,Aurelion Sol,394.3093
141,Kayn,437.5378
142,Zoe,405.6814
143,Zyra,317.2337
145,Kai'Sa,460.505
147,Seraphine,349.352
150,Gnar,414.7992
154,Zac,385.1523
157,Yasuo,432.7185
161,Vel'Koz,367.1918
163,Taliyah,435.9651
164,Camille,404.8923
166,Akshan,443.2581
200,Bel'Veth,440.057
201,Braum,270.9247
202,Jhin,415.4285
203,Kindred,449.6547
221,Zeri,440.1987
222,Jinx,434.4246
223,Tahm Kench,336.9084
234,Viego,417.1705
235,Senna,352.8049
236,Lucian,434.8544
238,Zed,428.0254
240,Kled,410.9231
245,Ekko,443.6089
246,Qiyana,452.8467
254,Vi,399.2671
266,Aatrox,400.6947
267,Nami,293.0793
268,Azir,422.9082
350,Yuumi,279.1789
360,Samira,468.3373
412,Thresh,276.6711
420,Illaoi,426.5442
421,Rek'Sai,428.4299
427,Ivern,329.4864
429,Kalista,490.74
432,Bard,288.9322
497,Rakan,278.8248
498,Xayah,433.8215
516,Ornn,360.4282
517,Sylas,406.8453
518,Neeko,386.6469
523,Aphelios,434.8584
526,Rell,278.413
555,Pyke,338.096
711,Vex,381.3339
777,Yone,432.8369
875,Sett,383.0391
876,Lillia,421.0892
887,Gwen,412.0007
888,Renata Glasc,288.0535
