id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
1,Annie,54.56,62.9,0.0,53.61,42.86,56.41,62.0,39.0,2.0,0.0,416.0,223.0,7.0,3.0,39.0,22.0,526.0,287.0
2,Olaf,48.15,48.08,48.0,50.0,62.5,0.0,913.0,439.0,225.0,108.0,16.0,8.0,8.0,5.0,1.0,0.0,1163.0,560.0
3,Galio,46.77,58.82,40.0,47.11,33.33,42.25,17.0,10.0,5.0,2.0,554.0,261.0,3.0,1.0,71.0,30.0,650.0,304.0
4,Twisted Fate,51.84,50.0,0.0,51.32,69.23,72.22,4.0,2.0,4.0,0.0,721.0,370.0,13.0,9.0,18.0,13.0,760.0,394.0
5,Xin Zhao,49.86,45.45,50.22,33.33,50.0,100.0,33.0,15.0,671.0,337.0,9.0,3.0,2.0,1.0,1.0,1.0,716.0,357.0
6,Urgot,52.5,53.26,16.67,46.15,40.0,50.0,475.0,253.0,6.0,1.0,13.0,6.0,5.0,2.0,2.0,1.0,501.0,263.0
7,LeBlanc,44.71,54.55,0.0,44.93,100.0,33.33,11.0,6.0,0.0,0.0,828.0,372.0,1.0,1.0,30.0,10.0,870.0,389.0
8,Vladimir,50.32,49.9,0.0,50.73,44.44,0.0,517.0,258.0,0.0,0.0,1165.0,591.0,27.0,12.0,2.0,0.0,1711.0,861.0
9,Fiddlesticks,52.05,51.52,52.08,61.54,0.0,50.0,33.0,17.0,576.0,300.0,13.0,8.0,1.0,0.0,34.0,17.0,657.0,342.0
10,Kayle,57.4,56.81,25.0,60.42,66.67,50.0,1512.0,859.0,4.0,1.0,331.0,200.0,3.0,2.0,2.0,1.0,1852.0,1063.0
11,Master Yi,52.1,58.33,52.32,50.0,20.0,50.0,12.0,7.0,539.0,282.0,14.0,7.0,5.0,1.0,2.0,1.0,572.0,298.0
12,Alistar,47.44,50.0,33.33,50.0,100.0,47.37,12.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,646.0,306.0,664.0,315.0
13,Ryze,46.9,38.46,0.0,48.43,50.0,0.0,65.0,25.0,0.0,0.0,351.0,170.0,4.0,2.0,0.0,0.0,420.0,197.0
14,Sion,46.01,45.33,47.83,53.57,45.71,40.91,814.0,369.0,23.0,11.0,84.0,45.0,35.0,16.0,22.0,9.0,978.0,450.0
