id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
1,Annie,51.22,53.77,0.0,51.8,31.25,46.58,106.0,57.0,0.0,0.0,666,345,16.0,5.0,73.0,34.0,861.0,441.0
2,Olaf,53.53,53.54,53.74,52.38,53.85,0.0,1836.0,983.0,428.0,230.0,42,22,13.0,7.0,1.0,0.0,2320.0,1242.0
3,Galio,47.45,40.0,0.0,48.0,33.33,45.35,25.0,10.0,0.0,0.0,1152,553,6.0,2.0,172.0,78.0,1355.0,643.0
4,Twisted Fate,47.71,30.0,0.0,48.16,54.55,34.62,10.0,3.0,3.0,0.0,1306,629,11.0,6.0,26.0,9.0,1356.0,647.0
5,Xin Zhao,49.74,41.67,50.1,50.0,0.0,25.0,48.0,20.0,1475.0,739.0,26,13,1.0,0.0,4.0,1.0,1554.0,773.0
6,Urgot,51.12,50.81,62.5,50.0,66.67,100.0,681.0,346.0,8.0,5.0,18,9,3.0,2.0,2.0,2.0,712.0,364.0
7,LeBlanc,45.74,33.33,100.0,45.78,66.67,44.19,9.0,3.0,1.0,1.0,1494,684,3.0,2.0,43.0,19.0,1550.0,709.0
8,Vladimir,48.24,46.3,0.0,49.29,41.3,50.0,987.0,457.0,0.0,0.0,2116,1043,46.0,19.0,2.0,1.0,3151.0,1520.0
9,Fiddlesticks,50.25,44.44,51.68,43.48,100.0,35.09,45.0,20.0,861.0,445.0,23,10,1.0,1.0,57.0,20.0,987.0,496.0
10,Kayle,47.62,47.24,0.0,49.93,38.46,0.0,3038.0,1435.0,4.0,0.0,677,338,13.0,5.0,2.0,0.0,3734.0,1778.0
11,Master Yi,45.68,42.86,46.54,29.63,14.29,50.0,28.0,12.0,838.0,390.0,27,8,7.0,1.0,2.0,1.0,902.0,412.0
12,Alistar,50.31,50.0,25.0,0.0,0.0,50.58,6.0,3.0,4.0,1.0,4,0,1.0,0.0,1289.0,652.0,1304.0,656.0
13,Ryze,49.3,52.29,0.0,49.16,0.0,100.0,109.0,57.0,2.0,0.0,594,292,4.0,0.0,1.0,1.0,710.0,350.0
14,Sion,50.14,50.21,38.46,53.33,50.0,35.71,1211.0,608.0,26.0,10.0,135,72,46.0,23.0,14.0,5.0,1432.0,718.0
15,Sivir,50.24,33.33,0.0,66.67,50.25,50.0,3.0,1.0,1.0,0.0,6,4,609.0,306.0,2.0,1.0,621.0,312.0
16,Soraka,48.98,45.28,0.0,52.04,53.45,48.82,53.0,24.0,2.0,0.0,98,51,116.0,62.0,3261.0,1592.0,3530.0,1729.0
17,Teemo,46.99,47.32,41.86,55.26,35.71,38.89,634.0,300.0,43.0,18.0,38,21,14.0,5.0,18.0,7.0,747.0,351.0
18,Tristana,51.05,51.79,30.0,54.86,50.17,100.0,56.0,29.0,10.0,3.0,525,288,2111.0,1059.0,1.0,1.0,2703.0,1380.0
19,Warwick,48.61,49.91,47.12,51.72,71.43,25.0,553.0,276.0,590.0,278.0,29,15,7.0,5.0,4.0,1.0,1183.0,575.0
20,Nunu & Willump,51.78,26.32,53.72,42.48,40.0,21.88,19.0,5.0,1532.0,823.0,153,65,10.0,4.0,32.0,7.0,1746.0,904.0
21,Miss Fortune,50.32,0.0,0.0,35.71,50.8,40.21,2.0,0.0,0.0,0.0,14,5,2685.0,1364.0,97.0,39.0,2798.0,1408.0
22,Ashe,49.69,37.5,0.0,45.45,52.0,48.34,40.0,15.0,5.0,0.0,44,20,2346.0,1220.0,3339.0,1614.0,5774.0,2869.0
23,Tryndamere,51.49,52.28,18.18,49.33,33.33,100.0,1492.0,780.0,11.0,2.0,298,147,15.0,5.0,2.0,2.0,1818.0,936.0
24,Jax,50.23,50.45,44.93,50.0,22.22,0.0,2884.0,1455.0,69.0,31.0,54,27,9.0,2.0,0.0,0.0,3016.0,1515.0
25,Morgana,48.23,35.29,51.22,51.49,60.0,47.98,17.0,6.0,41.0,21.0,101,52,10.0,6.0,1386.0,665.0,1555.0,750.0
26,Zilean,51.2,50.35,0.0,53.1,68.42,50.11,141.0,71.0,0.0,0.0,774,411,38.0,26.0,1836.0,920.0,2789.0,1428.0
27,Singed,45.27,47.48,7.69,46.82,23.08,37.23,893.0,424.0,26.0,2.0,220,103,26.0,6.0,94.0,35.0,1259.0,570.0
28,Evelynn,45.81,20.0,46.01,25.0,0.0,0.0,5.0,1.0,1078.0,496.0,4,1,0.0,0.0,0.0,0.0,1087.0,498.0
29,Twitch,50.37,55.56,51.03,49.3,50.5,43.75,18.0,10.0,145.0,74.0,142,70,6446.0,3255.0,128.0,56.0,6879.0,3465.0
30,Karthus,48.82,63.89,47.39,48.01,50.77,53.66,36.0,23.0,1340.0,635.0,277,133,717.0,364.0,41.0,22.0,2411.0,1177.0
31,Cho'Gath,45.69,44.47,31.82,48.23,52.5,50.0,479.0,213.0,22.0,7.0,226,109,40.0,21.0,10.0,5.0,777.0,355.0
32,Amumu,51.46,12.5,49.31,33.33,77.78,52.5,8.0,1.0,651.0,321.0,6,2,9.0,7.0,1518.0,797.0,2192.0,1128.0
