id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
1,Annie,42.13,33.33,0.0,43.94,0.0,44.44,27.0,9.0,0.0,0.0,132.0,58.0,1.0,0.0,18.0,8.0,178.0,75.0
2,Olaf,51.85,51.59,50.68,66.67,100.0,0.0,378.0,195.0,73.0,37.0,6.0,4.0,2.0,2.0,0.0,0.0,459.0,238.0
3,Galio,51.1,37.5,0.0,53.09,0.0,40.0,8.0,3.0,0.0,0.0,275.0,146.0,1.0,0.0,35.0,14.0,319.0,163.0
4,Twisted Fate,50.49,33.33,0.0,50.68,0.0,62.5,3.0,1.0,0.0,0.0,296.0,150.0,2.0,0.0,8.0,5.0,309.0,156.0
5,Xin Zhao,43.65,38.46,44.26,33.33,0.0,0.0,13.0,5.0,305.0,135.0,3.0,1.0,1.0,0.0,1.0,0.0,323.0,141.0
6,Urgot,53.17,52.94,0.0,75.0,50.0,0.0,119.0,63.0,1.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,126.0,67.0
7,LeBlanc,46.98,25.0,0.0,47.26,0.0,55.56,8.0,2.0,0.0,0.0,347.0,164.0,0.0,0.0,9.0,5.0,364.0,171.0
8,Vladimir,51.75,57.99,0.0,48.53,33.33,0.0,219.0,127.0,1.0,0.0,375.0,182.0,6.0,2.0,0.0,0.0,601.0,311.0
9,Fiddlesticks,53.07,11.11,55.84,75.0,0.0,41.67,9.0,1.0,154.0,86.0,4.0,3.0,0.0,0.0,12.0,5.0,179.0,95.0
10,Kayle,49.11,51.24,0.0,40.35,25.0,0.0,605.0,310.0,1.0,0.0,114.0,46.0,4.0,1.0,3.0,0.0,727.0,357.0
11,Master Yi,42.86,16.67,43.31,100.0,50.0,0.0,6.0,1.0,157.0,68.0,2.0,2.0,2.0,1.0,1.0,0.0,168.0,72.0
12,Alistar,48.12,66.67,0.0,0.0,0.0,48.6,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,286.0,139.0,293.0,141.0
13,Ryze,46.39,35.71,0.0,48.3,100.0,0.0,14.0,5.0,4.0,0.0,147.0,71.0,1.0,1.0,0.0,0.0,166.0,77.0
14,Sion,50.19,49.04,50.0,58.62,66.67,33.33,208.0,102.0,8.0,4.0,29.0,17.0,6.0,4.0,6.0,2.0,257.0,129.0
15,Sivir,48.25,0.0,0.0,25.0,49.54,0.0,0.0,0.0,0.0,0.0,4.0,1.0,109.0,54.0,1.0,0.0,114.0,55.0
16,Soraka,56.16,40.0,0.0,45.45,59.09,56.97,15.0,6.0,1.0,0.0,22.0,10.0,22.0,13.0,581.0,331.0,641.0,360.0
17,Teemo,44.1,43.88,0.0,50.0,100.0,28.57,139.0,61.0,2.0,0.0,10.0,5.0,3.0,3.0,7.0,2.0,161.0,71.0
18,Tristana,52.25,45.0,66.67,55.24,51.85,0.0,20.0,9.0,3.0,2.0,105.0,58.0,405.0,210.0,1.0,0.0,534.0,279.0
19,Warwick,52.11,53.54,53.09,25.0,100.0,0.0,99.0,53.0,81.0,43.0,8.0,2.0,1.0,1.0,1.0,0.0,190.0,99.0
20,Nunu & Willump,50.0,0.0,54.06,36.36,0.0,28.57,7.0,0.0,320.0,173.0,44.0,16.0,4.0,0.0,7.0,2.0,382.0,191.0
21,Miss Fortune,46.3,0.0,0.0,75.0,46.81,33.33,0.0,0.0,2.0,0.0,4.0,3.0,408.0,191.0,18.0,6.0,432.0,200.0
22,Ashe,44.06,0.0,0.0,16.67,46.27,42.97,3.0,0.0,2.0,0.0,6.0,1.0,482.0,223.0,626.0,269.0,1119.0,493.0
23,Tryndamere,56.89,57.41,40.0,56.06,0.0,0.0,378.0,217.0,5.0,2.0,66.0,37.0,1.0,0.0,0.0,0.0,450.0,256.0
24,Jax,51.16,51.42,41.67,57.14,0.0,0.0,667.0,343.0,12.0,5.0,7.0,4.0,1.0,0.0,1.0,0.0,688.0,352.0
25,Morgana,47.69,66.67,42.86,22.22,100.0,47.9,3.0,2.0,7.0,3.0,9.0,2.0,3.0,3.0,238.0,114.0,260.0,124.0
26,Zilean,47.08,54.17,0.0,53.85,75.0,43.28,24.0,13.0,0.0,0.0,130.0,70.0,4.0,3.0,305.0,132.0,463.0,218.0
27,Singed,35.65,42.55,14.29,25.93,28.57,23.81,141.0,60.0,7.0,1.0,54.0,14.0,7.0,2.0,21.0,5.0,230.0,82.0
28,Evelynn,49.75,0.0,50.26,0.0,0.0,0.0,0.0,0.0,195.0,98.0,0.0,0.0,1.0,0.0,1.0,0.0,197.0,98.0
29,Twitch,55.24,0.0,63.64,55.0,55.1,57.69,1.0,0.0,22.0,14.0,20.0,11.0,1285.0,708.0,26.0,15.0,1354.0,748.0
30,Karthus,52.44,66.67,48.17,53.33,60.81,50.0,9.0,6.0,328.0,158.0,60.0,32.0,148.0,90.0,8.0,4.0,553.0,290.0
31,Cho'Gath,54.0,55.29,0.0,61.7,33.33,0.0,85.0,47.0,1.0,0.0,47.0,29.0,15.0,5.0,2.0,0.0,150.0,81.0
32,Amumu,53.12,0.0,49.41,0.0,66.67,54.19,1.0,0.0,85.0,42.0,1.0,0.0,3.0,2.0,358.0,194.0,448.0,238.0
33,Rammus,38.05,25.0,38.79,0.0,0.0,50.0,8.0,2.0,214.0,83.0,2.0,0.0,0.0,0.0,2.0,1.0,226.0,86.0
34,Anivia,53.47,64.71,0.0,56.99,20.0,35.14,17.0,11.0,0.0,0.0,186.0,106.0,5.0,1.0,37.0,13.0,245.0,131.0
35,Shaco,41.38,0.0,42.05,50.0,0.0,33.33,1.0,0.0,264.0,111.0,4.0,2.0,0.0,0.0,21.0,7.0,290.0,120.0
36,Dr. Mundo,40.67,41.04,33.33,37.5,50.0,0.0,134.0,55.0,6.0,2.0,8.0,3.0,2.0,1.0,0.0,0.0,150.0,61.0
37,Sona,45.52,0.0,0.0,0.0,47.62,45.64,1.0,0.0,0.0,0.0,1.0,0.0,21.0,10.0,390.0,178.0,413.0,188.0
38,Kassadin,52.84,68.75,0.0,52.34,0.0,0.0,16.0,11.0,0.0,0.0,512.0,268.0,0.0,0.0,0.0,0.0,528.0,279.0
39,Irelia,47.47,48.48,0.0,46.26,33.33,0.0,495.0,240.0,0.0,0.0,348.0,161.0,6.0,2.0,0.0,0.0,849.0,403.0
40,Janna,47.67,75.0,0.0,0.0,33.33,47.71,4.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,742.0,354.0,751.0,358.0
41,Gangplank,46.99,46.76,0.0,49.41,66.67,0.0,941.0,440.0,1.0,0.0,85.0,42.0,3.0,2.0,0.0,0.0,1030.0,484.0
42,Corki,41.55,72.22,0.0,40.79,28.57,0.0,18.0,13.0,0.0,0.0,608.0,248.0,7.0,2.0,0.0,0.0,633.0,263.0
43,Karma,52.89,56.67,0.0,50.0,16.67,53.44,60.0,34.0,0.0,0.0,146.0,73.0,12.0,2.0,1164.0,622.0,1382.0,731.0
44,Taric,52.11,39.02,51.85,62.5,25.0,53.65,41.0,16.0,27.0,14.0,16.0,10.0,4.0,1.0,315.0,169.0,403.0,210.0
45,Veigar,49.79,80.0,0.0,46.83,60.78,25.0,5.0,4.0,0.0,0.0,363.0,170.0,102.0,62.0,8.0,2.0,478.0,238.0
48,Trundle,46.99,43.1,48.55,100.0,0.0,28.57,58.0,25.0,276.0,134.0,1.0,1.0,0.0,0.0,14.0,4.0,349.0,164.0
50,Swain,48.68,42.48,0.0,47.99,61.9,43.61,113.0,48.0,0.0,0.0,423.0,203.0,126.0,78.0,133.0,58.0,795.0,387.0
51,Caitlyn,47.84,0.0,0.0,33.33,47.94,0.0,0.0,0.0,0.0,0.0,3.0,1.0,436.0,209.0,0.0,0.0,439.0,210.0
53,Blitzcrank,51.76,0.0,0.0,0.0,0.0,51.98,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,481.0,250.0,483.0,250.0
54,Malphite,46.62,48.46,20.0,42.31,0.0,0.0,260.0,126.0,5.0,1.0,26.0,11.0,0.0,0.0,5.0,0.0,296.0,138.0
55,Katarina,53.01,33.33,0.0,53.32,50.0,0.0,9.0,3.0,0.0,0.0,617.0,329.0,6.0,3.0,0.0,0.0,632.0,335.0
56,Nocturne,51.69,40.0,51.46,100.0,0.0,0.0,5.0,2.0,171.0,88.0,2.0,2.0,0.0,0.0,0.0,0.0,178.0,92.0
57,Maokai,52.99,46.15,100.0,0.0,14.29,57.58,26.0,12.0,1.0,1.0,1.0,0.0,7.0,1.0,99.0,57.0,134.0,71.0
58,Renekton,55.31,55.59,0.0,54.9,0.0,0.0,358.0,199.0,0.0,0.0,102.0,56.0,1.0,0.0,0.0,0.0,461.0,255.0
59,Jarvan IV,53.85,12.5,55.46,50.0,33.33,60.0,8.0,1.0,229.0,127.0,2.0,1.0,3.0,1.0,5.0,3.0,247.0,133.0
60,Elise,55.45,100.0,58.7,0.0,0.0,38.46,2.0,2.0,92.0,54.0,3.0,0.0,0.0,0.0,13.0,5.0,110.0,61.0
61,Orianna,46.11,33.33,0.0,45.75,75.0,100.0,3.0,1.0,0.0,0.0,365.0,167.0,4.0,3.0,1.0,1.0,373.0,172.0
62,Wukong,46.91,40.88,47.85,20.0,63.64,0.0,159.0,65.0,1116.0,534.0,5.0,1.0,11.0,7.0,3.0,0.0,1294.0,607.0
63,Brand,49.04,0.0,0.0,52.0,44.44,48.57,0.0,0.0,0.0,0.0,25.0,13.0,9.0,4.0,70.0,34.0,104.0,51.0
64,Lee Sin,50.18,45.45,50.1,53.33,58.82,57.14,22.0,10.0,1569.0,786.0,15.0,8.0,17.0,10.0,7.0,4.0,1630.0,818.0
67,Vayne,47.93,46.99,33.33,36.36,48.59,0.0,166.0,78.0,3.0,1.0,11.0,4.0,568.0,276.0,1.0,0.0,749.0,359.0
68,Rumble,53.4,52.63,47.5,57.75,0.0,30.0,190.0,100.0,40.0,19.0,142.0,82.0,0.0,0.0,10.0,3.0,382.0,204.0
69,Cassiopeia,50.51,52.0,0.0,50.29,48.98,0.0,75.0,39.0,0.0,0.0,171.0,86.0,49.0,24.0,0.0,0.0,295.0,149.0
72,Skarner,48.04,42.5,53.33,0.0,0.0,0.0,40.0,17.0,60.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,102.0,49.0
74,Heimerdinger,52.63,56.82,0.0,48.98,54.29,50.0,44.0,25.0,0.0,0.0,49.0,24.0,35.0,19.0,24.0,12.0,152.0,80.0
75,Nasus,47.02,46.88,14.29,62.5,50.0,0.0,128.0,60.0,7.0,1.0,24.0,15.0,6.0,3.0,3.0,0.0,168.0,79.0
