Top_counterScore,Jug_counterScore,Mid_counterScore,Bot_counterScore,Uti_counterScore,Team1_Top_attackScore,Team1_Jug_attackScore,Team1_Mid_attackScore,Team1_Bot_attackScore,Team1_Uti_attackScore,Team2_Top_attackScore,Team2_Jug_attackScore,Team2_Mid_attackScore,Team2_Bot_attackScore,Team2_Uti_attackScore,Team1_Top_defenseScore,Team1_Jug_defenseScore,Team1_Mid_defenseScore,Team1_Bot_defenseScore,Team1_Uti_defenseScore,Team2_Top_defenseScore,Team2_Jug_defenseScore,Team2_Mid_defenseScore,Team2_Bot_defenseScore,Team2_Uti_defenseScore,Team1_Top_winRates,Team1_Jug_winRates,Team1_Mid_winRates,Team1_Bot_winRates,Team1_Uti_winRates,Team2_Top_winRates,Team2_Jug_winRates,Team2_Mid_winRates,Team2_Bot_winRates,Team2_Uti_winRates,Team1_comboCounts,Team2_comboCounts,Team1_Top_controlScore,Team1_Jug_controlScore,Team1_Mid_controlScore,Team1_Bot_controlScore,Team1_Uti_controlScore,Team2_Top_controlScore,Team2_Jug_controlScore,Team2_Mid_controlScore,Team2_Bot_controlScore,Team2_Uti_controlScore,TeamVictory
-569.7692307692307,-8.5,-1597.3157894736842,-1921.459090909091,1425.7142857142858,395.45,502.65,516.89,505.64,171.68,487.12,472.78,487.8,564.03,214.22,597.65,855.84,645.05,478.03,368.84,727.68,855.81,664.78,564.35,560.41,51.24,56.48,50.88,43.84,47.71,52.87,52.52,47.99,55.49,53.65,0.0,1.0,0.2573,0.1449,0.7271,0.1244,1.6476,1.3279,0.5369,1.5233,0.496,1.1193,100
-662.2258064516129,-1107.8695652173913,0.0,-58.44,-139.45714285714286,395.45,459.23,489.64,501.32,220.24,537.38,384.91,509.96,340.25,242.87,597.65,603.85,798.81,532.97,377.48,668.38,781.74,543.94,412.31,501.28,51.24,48.12,54.9,44.14,51.34,46.76,47.85,50.29,53.29,51.98,0.0,0.0,0.2573,1.0993,0.6922,0.5861,0.9627,0.3488,0.5082,0.9887,1.0497,1.3264,200
-714.3157894736842,-423.875,-472.2413793103448,-1921.459090909091,-464.0,458.45,431.2,558.91,505.64,251.09,461.16,517.72,459.23,564.03,200.48,689.99,824.99,789.95,478.03,435.65,667.9,766.1,603.85,564.35,440.22,48.69,58.1,55.23,43.84,45.64,48.8,57.03,40.48,55.49,49.01,0.0,0.0,0.3082,0.6905,0.928,0.1244,0.465,0.6737,0.293,1.0993,0.496,0.9728,200
-455.45454545454544,-472.0740740740741,608.9324324324324,-2338.6444444444446,410.3,488.24,479.37,460.0,505.64,243.59,489.64,502.65,516.89,612.05,214.18,759.18,730.85,586.55,478.03,387.34,798.81,855.84,645.05,576.31,376.37,48.48,54.82,53.9,43.84,48.9,55.59,56.48,50.88,56.6,56.97,0.0,1.0,0.5021,0.3422,0.7818,0.1244,0.959,0.6922,0.1449,0.7271,0.3441,1.2132,200
640.6842105263158,-1075.0,-420.9836065573771,-597.0528301886792,-301.2,410.39,433.31,558.91,449.29,209.71,497.03,453.96,492.81,505.64,242.87,699.28,914.74,789.95,485.89,487.52,754.04,774.96,509.13,478.03,501.28,45.8,44.26,55.23,45.69,44.28,49.26,65.68,40.79,43.84,51.98,1.0,0.0,1.2948,0.7891,0.928,0.0913,1.2612,0.3157,0.7876,0.0833,0.1244,1.3264,200
-913.695652173913,-632.8285714285714,-110.86666666666666,689.2173913043479,390.3043478260869,552.22,459.23,487.8,477.06,214.22,461.16,517.72,492.81,429.1,239.92,762.73,603.85,664.78,484.41,560.41,667.9,766.1,509.13,502.95,273.88,53.63,48.12,47.99,50.07,53.65,48.8,57.03,40.79,48.59,45.16,0.0,0.0,0.7372,1.0993,1.5233,0.5485,1.1193,0.6737,0.293,0.0833,0.3392,0.6237,100
0.0,-245.43939393939397,0.0,804.5714285714286,-372.6,425.37,393.16,508.1,651.16,239.92,605.12,427.98,427.57,477.06,327.02,541.96,909.86,650.2,660.02,273.88,715.07,850.87,550.75,484.41,585.61,48.46,43.14,49.28,60.81,45.16,59.2,50.1,56.99,50.07,57.58,0.0,0.0,1.0403,0.567,0.0613,0.5989,0.6237,0.1267,0.6571,1.4354,0.5485,1.9901,200
616.7058823529412,-1030.6521739130435,-512.8125,328.1818181818182,-548.038961038961,410.39,344.15,508.1,564.03,200.48,458.45,431.2,489.38,468.03,278.14,699.28,888.88,650.2,564.35,440.22,689.99,824.99,626.21,480.09,457.08,45.8,42.39,49.28,55.49,49.01,48.69,58.1,51.41,44.37,49.77,0.0,0.0,1.2948,1.0243,0.0613,0.496,0.9728,0.3082,0.6905,0.666,0.8545,0.899,200
-1013.68,300.1764705882353,526.7142857142857,86.47804878048781,-132.54901960784315,552.22,453.44,466.62,478.68,251.09,458.45,427.98,479.37,526.39,239.92,762.73,757.14,516.28,519.75,435.65,689.99,850.87,730.85,524.93,273.88,53.63,41.55,51.08,48.59,45.64,48.69,50.1,51.64,55.1,45.16,0.0,0.0,0.7372,0.2073,0.7717,0.2799,0.465,0.3082,0.6571,0.3422,0.3548,0.6237,200
-402.44444444444446,-1518.7674418604652,-993.5833333333334,-763.2162162162163,-548.038961038961,469.56,453.96,511.59,564.03,278.14,497.03,427.98,459.23,490.74,200.48,775.45,774.96,523.9,564.35,457.08,754.04,850.87,603.85,522.4,440.22,53.32,65.68,48.7,55.49,49.77,49.26,50.1,40.48,51.85,49.01,0.0,0.0,1.1045,0.7876,0.4683,0.496,0.899,0.3157,0.6571,1.0993,0.209,0.9728,100
0.0,-223.0,576.5384615384615,-597.0528301886792,0.0,505.0,479.53,466.62,449.29,487.12,420.11,472.78,522.32,505.64,373.88,790.24,585.06,516.28,485.89,727.68,602.02,855.81,599.09,478.03,444.15,41.04,52.91,51.08,45.69,42.86,46.85,52.52,53.32,43.84,53.44,0.0,0.0,0.559,0.2324,0.7717,0.0913,1.3279,0.9363,0.5369,0.05,0.1244,0.9365,100
0.0,-248.65217391304347,0.0,72.98058252427184,-625.551724137931,488.24,396.7,509.96,478.68,239.92,364.54,446.93,459.23,410.72,286.8,759.18,783.23,543.94,519.75,273.88,798.32,852.43,603.85,454.1,446.05,48.48,52.87,50.29,48.59,45.16,46.88,47.06,40.48,50.76,52.86,0.0,0.0,0.5021,0.9065,0.9887,0.2799,0.6237,0.5021,0.8327,1.0993,0.8977,1.5989,100
