champion1,id1,champion2,id2,combo
Annie,1,Olaf,2,0
Annie,1,Galio,3,0
Annie,1,Twisted Fate,4,0
Annie,1,Xin Zhao,5,0
Annie,1,Urgot,6,0
Annie,1,LeBlanc,7,0
Annie,1,Vladimir,8,0
Annie,1,Fiddlesticks,9,0
Annie,1,Kayle,10,0
Annie,1,Master Yi,11,0
Annie,1,Alistar,12,0
Annie,1,Ryze,13,0
Annie,1,Sion,14,0
Annie,1,Sivir,15,0
Annie,1,Soraka,16,0
Annie,1,Teemo,17,0
Annie,1,Tristana,18,0
Annie,1,Warwick,19,0
Annie,1,Nunu & Willump,20,0
Annie,1,Miss Fortune,21,0
Annie,1,Ashe,22,0
Annie,1,Tryndamere,23,0
Annie,1,Jax,24,0
Annie,1,Morgana,25,0
Annie,1,Zilean,26,0
Annie,1,Singed,27,0
Annie,1,Evelynn,28,0
Annie,1,Twitch,29,0
Annie,1,Karthus,30,0
Annie,1,Cho'Gath,31,0
Annie,1,Amumu,32,0
Annie,1,Rammus,33,0
Annie,1,Anivia,34,0
Annie,1,Shaco,35,0
Annie,1,Dr. Mundo,36,0
Annie,1,Sona,37,0
Annie,1,Kassadin,38,0
Annie,1,Irelia,39,0
Annie,1,Janna,40,0
Annie,1,Gangplank,41,0
Annie,1,Corki,42,0
Annie,1,Karma,43,0
Annie,1,Taric,44,0
Annie,1,Veigar,45,0
Annie,1,Trundle,48,0
Annie,1,Swain,50,0
Annie,1,Caitlyn,51,0
Annie,1,Blitzcrank,53,0
Annie,1,Malphite,54,0
Annie,1,Katarina,55,0
Annie,1,Nocturne,56,0
Annie,1,Maokai,57,0
Annie,1,Renekton,58,0
Annie,1,Jarvan IV,59,0
Annie,1,Elise,60,0
Annie,1,Orianna,61,0
Annie,1,Wukong,62,0
Annie,1,Brand,63,0
Annie,1,Lee Sin,64,0
Annie,1,Vayne,67,0
Annie,1,Rumble,68,0
Annie,1,Cassiopeia,69,0
Annie,1,Skarner,72,0
Annie,1,Heimerdinger,74,0
Annie,1,Nasus,75,0
Annie,1,Nidalee,76,0
Annie,1,Udyr,77,0
Annie,1,Poppy,78,0
Annie,1,Gragas,79,0
Annie,1,Pantheon,80,0
Annie,1,Ezreal,81,0
Annie,1,Mordekaiser,82,0
Annie,1,Yorick,83,0
Annie,1,Akali,84,0
Annie,1,Kennen,85,0
Annie,1,Garen,86,0
Annie,1,Leona,89,0
Annie,1,Malzahar,90,0
Annie,1,Talon,91,0
Annie,1,Riven,92,0
Annie,1,Kog'Maw,96,0
Annie,1,Shen,98,0
Annie,1,Lux,99,0
Annie,1,Xerath,101,0
Annie,1,Shyvana,102,0
Annie,1,Ahri,103,0
Annie,1,Graves,104,0
Annie,1,Fizz,105,0
Annie,1,Volibear,106,0
Annie,1,Rengar,107,0
Annie,1,Varus,110,0
Annie,1,Nautilus,111,0
Annie,1,Viktor,112,0
Annie,1,Sejuani,113,0
Annie,1,Fiora,114,0
Annie,1,Ziggs,115,0
Annie,1,Lulu,117,0
Annie,1,Draven,119,0
