id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
1,Annie,59.46,64.52,33.33,33.33,33.33,33.33,62.0,40.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,74.0,44.0
2,Olaf,47.77,49.08,46.4,46.4,46.4,46.4,927.0,455.0,222.0,103.0,222.0,103.0,222.0,103.0,222.0,103.0,1815.0,867.0
3,Galio,43.24,47.06,40.0,40.0,40.0,40.0,17.0,8.0,5.0,2.0,5.0,2.0,5.0,2.0,5.0,2.0,37.0,16.0
4,Twisted Fate,24.0,40.0,20.0,20.0,20.0,20.0,5.0,2.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,25.0,6.0
5,Xin Zhao,50.11,46.67,50.15,50.15,50.15,50.15,30.0,14.0,688.0,345.0,688.0,345.0,688.0,345.0,688.0,345.0,2782.0,1394.0
6,Urgot,52.31,53.67,20.0,20.0,20.0,20.0,477.0,256.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,497.0,260.0
7,LeBlanc,44.44,44.44,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
8,Vladimir,50.1,50.1,0.0,0.0,0.0,0.0,515.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,258.0
9,Fiddlesticks,51.53,53.12,51.51,51.51,51.51,51.51,32.0,17.0,596.0,307.0,596.0,307.0,596.0,307.0,596.0,307.0,2416.0,1245.0
10,Kayle,56.2,56.53,25.0,25.0,25.0,25.0,1509.0,853.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,1525.0,857.0
11,Master Yi,51.8,58.33,51.76,51.76,51.76,51.76,12.0,7.0,539.0,279.0,539.0,279.0,539.0,279.0,539.0,279.0,2168.0,1123.0
12,Alistar,41.67,50.0,33.33,33.33,33.33,33.33,12.0,6.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,24.0,10.0
13,Ryze,37.5,37.5,0.0,0.0,0.0,0.0,64.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,24.0
14,Sion,44.76,44.64,45.83,45.83,45.83,45.83,811.0,362.0,24.0,11.0,24.0,11.0,24.0,11.0,24.0,11.0,907.0,406.0
15,Sivir,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
16,Soraka,47.06,47.06,0.0,0.0,0.0,0.0,34.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,16.0
17,Teemo,50.82,50.98,50.0,50.0,50.0,50.0,459.0,234.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,547.0,278.0
18,Tristana,51.02,52.94,50.0,50.0,50.0,50.0,17.0,9.0,8.0,4.0,8.0,4.0,8.0,4.0,8.0,4.0,49.0,25.0
19,Warwick,53.53,52.54,53.71,53.71,53.71,53.71,295.0,155.0,404.0,217.0,404.0,217.0,404.0,217.0,404.0,217.0,1911.0,1023.0
20,Nunu & Willump,50.16,42.86,50.18,50.18,50.18,50.18,7.0,3.0,837.0,420.0,837.0,420.0,837.0,420.0,837.0,420.0,3355.0,1683.0
21,Miss Fortune,100.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
22,Ashe,44.44,57.14,0.0,0.0,0.0,0.0,28.0,16.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,36.0,16.0
23,Tryndamere,46.43,47.28,25.0,25.0,25.0,25.0,808.0,382.0,8.0,2.0,8.0,2.0,8.0,2.0,8.0,2.0,840.0,390.0
24,Jax,50.61,52.62,34.04,34.04,34.04,34.04,1543.0,812.0,47.0,16.0,47.0,16.0,47.0,16.0,47.0,16.0,1731.0,876.0
25,Morgana,50.0,66.67,48.65,48.65,48.65,48.65,12.0,8.0,37.0,18.0,37.0,18.0,37.0,18.0,37.0,18.0,160.0,80.0
26,Zilean,42.86,42.86,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,30.0
27,Singed,50.96,54.74,25.0,25.0,25.0,25.0,548.0,300.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,628.0,320.0
28,Evelynn,49.03,0.0,49.03,49.03,49.03,49.03,0.0,0.0,671.0,329.0,671.0,329.0,671.0,329.0,671.0,329.0,2684.0,1316.0
29,Twitch,44.16,44.44,44.16,44.16,44.16,44.16,9.0,4.0,77.0,34.0,77.0,34.0,77.0,34.0,77.0,34.0,317.0,140.0
30,Karthus,49.55,54.17,49.52,49.52,49.52,49.52,24.0,13.0,834.0,413.0,834.0,413.0,834.0,413.0,834.0,413.0,3360.0,1665.0
31,Cho'Gath,50.89,51.04,50.0,50.0,50.0,50.0,386.0,197.0,16.0,8.0,16.0,8.0,16.0,8.0,16.0,8.0,450.0,229.0
32,Amumu,51.52,33.33,51.57,51.57,51.57,51.57,6.0,2.0,508.0,262.0,508.0,262.0,508.0,262.0,508.0,262.0,2038.0,1050.0
33,Rammus,55.19,52.63,55.21,55.21,55.21,55.21,19.0,10.0,730.0,403.0,730.0,403.0,730.0,403.0,730.0,403.0,2939.0,1622.0
34,Anivia,41.51,41.51,0.0,0.0,0.0,0.0,53.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,22.0
35,Shaco,50.85,60.71,50.78,50.78,50.78,50.78,28.0,17.0,963.0,489.0,963.0,489.0,963.0,489.0,963.0,489.0,3880.0,1973.0
36,Dr. Mundo,47.3,48.62,41.94,41.94,41.94,41.94,506.0,246.0,31.0,13.0,31.0,13.0,31.0,13.0,31.0,13.0,630.0,298.0
37,Sona,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Kassadin,52.63,52.63,0.0,0.0,0.0,0.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0
39,Irelia,47.8,47.93,33.33,33.33,33.33,33.33,1329.0,637.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1341.0,641.0
40,Janna,71.43,71.43,0.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0
41,Gangplank,46.59,46.59,0.0,0.0,0.0,0.0,2827.0,1317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2827.0,1317.0
42,Corki,40.74,44.0,0.0,0.0,0.0,0.0,50.0,22.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,54.0,22.0
43,Karma,45.75,46.98,0.0,0.0,0.0,0.0,149.0,70.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,153.0,70.0
44,Taric,55.15,68.24,50.0,50.0,50.0,50.0,85.0,58.0,54.0,27.0,54.0,27.0,54.0,27.0,54.0,27.0,301.0,166.0
45,Veigar,59.46,59.46,0.0,0.0,0.0,0.0,37.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,22.0
48,Trundle,52.04,48.79,52.25,52.25,52.25,52.25,207.0,101.0,823.0,430.0,823.0,430.0,823.0,430.0,823.0,430.0,3499.0,1821.0
50,Swain,51.42,51.42,0.0,0.0,0.0,0.0,317.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,163.0
51,Caitlyn,83.33,50.0,100.0,100.0,100.0,100.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0
53,Blitzcrank,38.46,100.0,33.33,33.33,33.33,33.33,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,13.0,5.0
54,Malphite,48.97,50.36,25.0,25.0,25.0,25.0,830.0,418.0,12.0,3.0,12.0,3.0,12.0,3.0,12.0,3.0,878.0,430.0
55,Katarina,43.28,49.02,25.0,25.0,25.0,25.0,51.0,25.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,67.0,29.0
56,Nocturne,49.16,44.44,49.2,49.2,49.2,49.2,18.0,8.0,563.0,277.0,563.0,277.0,563.0,277.0,563.0,277.0,2270.0,1116.0
57,Maokai,53.41,55.36,50.0,50.0,50.0,50.0,56.0,31.0,8.0,4.0,8.0,4.0,8.0,4.0,8.0,4.0,88.0,47.0
58,Renekton,46.67,46.64,50.0,50.0,50.0,50.0,864.0,403.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,872.0,407.0
59,Jarvan IV,48.91,40.62,48.99,48.99,48.99,48.99,32.0,13.0,792.0,388.0,792.0,388.0,792.0,388.0,792.0,388.0,3200.0,1565.0
60,Elise,47.18,0.0,47.22,47.22,47.22,47.22,1.0,0.0,252.0,119.0,252.0,119.0,252.0,119.0,252.0,119.0,1009.0,476.0
61,Orianna,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0
62,Wukong,51.89,51.9,51.89,51.89,51.89,51.89,632.0,328.0,3010.0,1562.0,3010.0,1562.0,3010.0,1562.0,3010.0,1562.0,12672.0,6576.0
63,Brand,56.0,40.0,60.0,60.0,60.0,60.0,5.0,2.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,25.0,14.0
64,Lee Sin,46.73,53.12,46.71,46.71,46.71,46.71,32.0,17.0,3393.0,1585.0,3393.0,1585.0,3393.0,1585.0,3393.0,1585.0,13604.0,6357.0
67,Vayne,54.29,54.81,0.0,0.0,0.0,0.0,416.0,228.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,420.0,228.0
68,Rumble,46.43,47.38,44.64,44.64,44.64,44.64,420.0,199.0,56.0,25.0,56.0,25.0,56.0,25.0,56.0,25.0,644.0,299.0
69,Cassiopeia,55.76,55.76,0.0,0.0,0.0,0.0,165.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,92.0
72,Skarner,49.33,50.0,49.22,49.22,49.22,49.22,124.0,62.0,193.0,95.0,193.0,95.0,193.0,95.0,193.0,95.0,896.0,442.0
