id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
1,Annie,54.72,54.72,0.0,0.0,0.0,0.0,106.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,58.0
2,Olaf,53.15,53.11,53.19,53.19,53.19,53.19,1834.0,974.0,423.0,225.0,423.0,225.0,423.0,225.0,423.0,225.0,3526.0,1874.0
3,Galio,37.5,37.5,0.0,0.0,0.0,0.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0
4,Twisted Fate,15.0,37.5,0.0,0.0,0.0,0.0,8.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,20.0,3.0
5,Xin Zhao,50.1,41.67,50.17,50.17,50.17,50.17,48.0,20.0,1495.0,750.0,1495.0,750.0,1495.0,750.0,1495.0,750.0,6028.0,3020.0
6,Urgot,52.5,51.73,71.43,71.43,71.43,71.43,692.0,358.0,7.0,5.0,7.0,5.0,7.0,5.0,7.0,5.0,720.0,378.0
7,LeBlanc,57.14,40.0,100.0,100.0,100.0,100.0,10.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,8.0
8,Vladimir,47.54,47.54,0.0,0.0,0.0,0.0,995.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.0,473.0
9,Fiddlesticks,51.12,47.83,51.16,51.16,51.16,51.16,46.0,22.0,860.0,440.0,860.0,440.0,860.0,440.0,860.0,440.0,3486.0,1782.0
10,Kayle,47.05,47.3,0.0,0.0,0.0,0.0,3021.0,1429.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,3037.0,1429.0
11,Master Yi,46.63,38.46,46.69,46.69,46.69,46.69,26.0,10.0,846.0,395.0,846.0,395.0,846.0,395.0,846.0,395.0,3410.0,1590.0
12,Alistar,38.89,50.0,33.33,33.33,33.33,33.33,6.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,18.0,7.0
13,Ryze,44.83,48.15,0.0,0.0,0.0,0.0,108.0,52.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,116.0,52.0
14,Sion,49.39,50.17,40.74,40.74,40.74,40.74,1202.0,603.0,27.0,11.0,27.0,11.0,27.0,11.0,27.0,11.0,1310.0,647.0
15,Sivir,16.67,50.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0
16,Soraka,44.64,48.08,0.0,0.0,0.0,0.0,52.0,25.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,56.0,25.0
17,Teemo,46.82,48.09,42.22,42.22,42.22,42.22,653.0,314.0,45.0,19.0,45.0,19.0,45.0,19.0,45.0,19.0,833.0,390.0
18,Tristana,42.55,51.85,30.0,30.0,30.0,30.0,54.0,28.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0,3.0,94.0,40.0
19,Warwick,49.09,50.27,48.82,48.82,48.82,48.82,547.0,275.0,592.0,289.0,592.0,289.0,592.0,289.0,592.0,289.0,2915.0,1431.0
20,Nunu & Willump,53.68,22.22,53.78,53.78,53.78,53.78,18.0,4.0,1523.0,819.0,1523.0,819.0,1523.0,819.0,1523.0,819.0,6110.0,3280.0
21,Miss Fortune,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
22,Ashe,26.23,39.02,0.0,0.0,0.0,0.0,41.0,16.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,61.0,16.0
23,Tryndamere,50.59,51.68,10.0,10.0,10.0,10.0,1486.0,768.0,10.0,1.0,10.0,1.0,10.0,1.0,10.0,1.0,1526.0,772.0
24,Jax,50.19,50.62,45.59,45.59,45.59,45.59,2898.0,1467.0,68.0,31.0,68.0,31.0,68.0,31.0,68.0,31.0,3170.0,1591.0
25,Morgana,48.63,33.33,50.0,50.0,50.0,50.0,15.0,5.0,42.0,21.0,42.0,21.0,42.0,21.0,42.0,21.0,183.0,89.0
26,Zilean,50.0,50.0,0.0,0.0,0.0,0.0,134.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,67.0
27,Singed,44.51,48.29,11.54,11.54,11.54,11.54,907.0,438.0,26.0,3.0,26.0,3.0,26.0,3.0,26.0,3.0,1011.0,450.0
28,Evelynn,46.91,33.33,46.93,46.93,46.93,46.93,6.0,2.0,1074.0,504.0,1074.0,504.0,1074.0,504.0,1074.0,504.0,4302.0,2018.0
29,Twitch,51.48,55.56,51.35,51.35,51.35,51.35,18.0,10.0,148.0,76.0,148.0,76.0,148.0,76.0,148.0,76.0,610.0,314.0
30,Karthus,47.34,62.86,47.24,47.24,47.24,47.24,35.0,22.0,1340.0,633.0,1340.0,633.0,1340.0,633.0,1340.0,633.0,5395.0,2554.0
31,Cho'Gath,43.62,44.58,38.1,38.1,38.1,38.1,480.0,214.0,21.0,8.0,21.0,8.0,21.0,8.0,21.0,8.0,564.0,246.0
32,Amumu,50.38,25.0,50.46,50.46,50.46,50.46,8.0,2.0,650.0,328.0,650.0,328.0,650.0,328.0,650.0,328.0,2608.0,1314.0
33,Rammus,48.93,53.33,48.89,48.89,48.89,48.89,45.0,24.0,1174.0,574.0,1174.0,574.0,1174.0,574.0,1174.0,574.0,4741.0,2320.0
34,Anivia,61.54,64.86,0.0,0.0,0.0,0.0,74.0,48.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,78.0,48.0
35,Shaco,46.79,31.03,46.88,46.88,46.88,46.88,29.0,9.0,1297.0,608.0,1297.0,608.0,1297.0,608.0,1297.0,608.0,5217.0,2441.0
36,Dr. Mundo,48.12,49.48,37.93,37.93,37.93,37.93,869.0,430.0,29.0,11.0,29.0,11.0,29.0,11.0,29.0,11.0,985.0,474.0
37,Sona,50.0,75.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,12.0,6.0
38,Kassadin,49.02,58.14,0.0,0.0,0.0,0.0,43.0,25.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,51.0,25.0
39,Irelia,49.88,49.88,0.0,0.0,0.0,0.0,2448.0,1221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2448.0,1221.0
40,Janna,43.94,50.0,25.0,25.0,25.0,25.0,50.0,25.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,66.0,29.0
41,Gangplank,49.81,49.86,0.0,0.0,0.0,0.0,4569.0,2278.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4573.0,2278.0
42,Corki,42.86,42.86,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,30.0
43,Karma,50.18,50.18,0.0,0.0,0.0,0.0,281.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,141.0
44,Taric,53.68,48.91,55.56,55.56,55.56,55.56,184.0,90.0,117.0,65.0,117.0,65.0,117.0,65.0,117.0,65.0,652.0,350.0
45,Veigar,42.22,46.34,0.0,0.0,0.0,0.0,41.0,19.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,19.0
48,Trundle,53.38,47.34,53.78,53.78,53.78,53.78,395.0,187.0,1467.0,789.0,1467.0,789.0,1467.0,789.0,1467.0,789.0,6263.0,3343.0
50,Swain,52.99,53.38,0.0,0.0,0.0,0.0,532.0,284.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,536.0,284.0
51,Caitlyn,28.57,66.67,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,2.0
