id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
1,Annie,30.77,30.77,0.0,0.0,0.0,0.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,8.0
2,Olaf,52.14,51.08,53.52,53.52,53.52,53.52,370.0,189.0,71.0,38.0,71.0,38.0,71.0,38.0,71.0,38.0,654.0,341.0
3,Galio,37.5,37.5,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0
4,Twisted Fate,33.33,33.33,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
5,Xin Zhao,44.54,42.86,44.55,44.55,44.55,44.55,14.0,6.0,303.0,135.0,303.0,135.0,303.0,135.0,303.0,135.0,1226.0,546.0
6,Urgot,51.2,52.89,0.0,0.0,0.0,0.0,121.0,64.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,125.0,64.0
7,LeBlanc,22.22,22.22,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0
8,Vladimir,57.41,57.41,0.0,0.0,0.0,0.0,216.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,124.0
9,Fiddlesticks,54.62,11.11,55.26,55.26,55.26,55.26,9.0,1.0,152.0,84.0,152.0,84.0,152.0,84.0,152.0,84.0,617.0,337.0
10,Kayle,50.9,51.24,0.0,0.0,0.0,0.0,607.0,311.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,611.0,311.0
11,Master Yi,42.19,40.0,42.21,42.21,42.21,42.21,5.0,2.0,154.0,65.0,154.0,65.0,154.0,65.0,154.0,65.0,621.0,262.0
12,Alistar,28.57,66.67,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,2.0
13,Ryze,16.67,35.71,0.0,0.0,0.0,0.0,14.0,5.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,30.0,5.0
